HashFunction,TotalSum
8203ff88388384a6f9ed28664e8e9484119ff340cb7dc0811a15194b3a507f0e,853208972
5315be05fc3b21a3f483ed0759bce825764dcf8a762623a1d94ff63f9d9ce4cc,589539278
dd833bb70b3a57caaa6b4e4560975d9ba5a77fd0151e13d1b5f30b4f6c381d5c,348550218
93d4c31373200d74272af6e0feb443ea1206b83034d563ad7bc934e89b12e170,168202944
063ba6f3c1d425f6f5c3bde3b9ba1eba7c6d81c57fd794860338638212d30dfb,153532896
ea885ffca6338a2b781a0725ae8a661496779c7f0a7f78855b1f297b899640c0,133729919
04605a37a22e05096e009845434d33bfd1c42cd67f6d72601d351e470614bf5f,114274589
0ce67779eaa33056a996ccdeabeb3c04e48d41388d5fa734c30f505d7583b559,101997770
2b373145c4fa2c3447bb2a19be20d14120b76238b61c9eb9ac92f86821da3e6a,101172009
4fec01ac4ad62bb7fdff5851257d9a097af424ae03ba62c0e94167e3d5e24ef6,96831349
f8c5d1ba78b7d2f4d2d2a0d8bbc31f0b93185edce1d0788fbc362f22bd931af2,95462072
fd87c379a4f2dac5b411a5443e673f25ca479ba7172c5074ab008319fbf62d13,93883475
660323aa6f1012c8eca3c7d8153cb436320b48ed84f82bf3e816b494ad8dfde2,80775666
cc01b9cdcca156f91995d55430e8737a2ae6d300e47333d6fd7b5e6bdd5709ee,79647126
31778f4c7f71ba17a77ed68bd5d18380db8d3cf8a4ac73698d6716080eae6486,71371327
5608f70ad5c4f89e83b01f37bdabd7b89f79338b34776128d68676d83cd3de15,68268005
7967443fae241b40f350ec20dc2e0c558f7c5a9f94e4db73b580e5abf143ab23,66460295
308ecb6c8592f6f839007d57f001ad18314f443fc8df3f0a36727b6f891b3e1c,64475857
723d018b0fe95aa49dfe5c93cbfacf4ffc78cd299cffa5a0be3d28ef49409056,63800541
47658c9cff05caaffd85722b6f81dd163f680f03d4026474a098f966e2f528b3,54501492
b1224a9c879b3aa7eb83c46a1f09fd8d300904b14e353d629f1e6a455034bb13,46987300
9d133e10efe8865e06a5ad5690b94a1efc90fb7d89a6305638f2ee8dcc4f918e,46133495
1992918c23cc92244ef4a1efabbf23ab28abe05bf37658eec9af9232d78e0939,38780194
ca18283c1b4dd579178e829b0e74e37f64c2c6d0344447a972d582e7de0ecd57,36668626
6590c82e22abcdaf4887f5e84c39b3d264276cb7fb5bd585cdde6e8966a58966,33955183
4456b981d48aae1e52ca3615ff8328f0ae2b7786978b8385af9e3286b68b09d4,32085422
5336bda8faa5d11baac08b366930d5a0f89d37430f6df30028d75e7fb9724b3e,29042643
5452242012899b0b33b4f44ef9d1c5c41187a983e35b802cc8abb6bc465bdd54,27065907
65c4bf1b7fe6a7796d542f0c178b98269f131537076eeb34a5e52808f8486c96,26438776
9bce5e2ee302cba459ff2ca75e37cdb0dba32118fe1fd0762eb4726f214eefbf,25671351
f1de419dc75ea0f629deaf936e0b65934cbf2bc444ffd7b3116e3a19dd108f11,25071320
b0295894a51abf1a222fd747841bd2330676fcb084d062048c0b52aed440c3b5,24893336
db438bd78624ee22679d9ea36e041ac0a23c6f3ebdedae29d1789ac6ef8b5d4c,24788000
e9d75b347d07708feefdfcaa041903b1e6301d46cc9e2e5a13e5caffa572d89c,24744154
ba854003e05348b105e9d92c219614a8093a82bc2b53aed8f42f8084c5bf00b8,24401293
711b0aab9f246bb310c8d45af460620555a3c0fb469dbb2783c47533cfdb8df4,22609019
bd33ce4bbd8f9ee2f2635a94bc3b0ec5a17739e4ad551851cc44b90cecf2eada,22491272
9f7c42b1b5e58255e47691a7b28b08272a9e6a7db596871d300d5ed6a0363e35,22224915
491772fa2fe199e3466a538d2c7da90471af914c937d5217ee8bc71d935d28ac,20675827
b64fc6e2fbb22d3360090c85255445d161a7b01f716e17a9d8e3a4096a9960eb,20526664
34e59d31d5a406d0f1f6e9803c1e4a34d8956e4607117b0bd951af973ab78938,20337247
220f888bc0ebd03b27e0ec5d50a7352fb0828b6e23b5d1756c824d54f8bde48c,19196492
d50a954fa5ee7fa59acd69f55656aa7eaf698cd88acc4a4a909287fd2122dabb,19135695
35b6299db435c4c0a8e721f224cf3d4d42bf0d39f5d0d5c5724453d95b96350c,18490777
f70c357bc8f4449dd35d2a8b604112f65935c757b4849490ed8cc05d97a3cfd3,18151968
e6aef9c0da4f30a9b4c2c1df847ac860560ac0721539e3dfd2112d8ef57ea703,17336159
f49c9b07fabac545a5bb044d8b67be677958ac1ecf1c72cb6cfaea81785d084d,17329072
52df3473cd810e5d9eb4923260c0189b6136da3193253f984fb97bca8e8b3deb,17216641
c527d3d2a22aa19f8711437bf8c0783162892f93f322b42b77a7cf08662c518a,15993835
1ff834f847c59a8e7b85b171d5e4f32f8ba92c474ded47c7963dbc87633d2696,15586897
8911ae3261aac5969b8c80b37d4edc8bf3a7a49860f633ad4c591531d6ba9286,15351176
6776c74bb14a111c15d7548a916cb7c540716f739c7892ff9c5c5509818a3c6c,15290569
295ed129ebf7fab6ade6ae2c4bf15a91d84d607553e21950bf5b7b4a47411a48,14830864
abeb7bc28382229a9ba750fb44d2d4830badff7a0b3ef858b6d54c3b56501ca6,14664575
cba2d4a3cb55d92a97a2c0cfccc3307d2bda86db7d79feac9070426284532bee,14069190
be58d43a3cd2c049eccfed0f645eff89d278fc1b45e7a08a9278c02e6214ec36,13745873
68c45f54d6dd3861acc40bcebba5441c90e55a2a0228a07cc629e26e291ea3ca,13737316
a30d7905672e6f4448e0da995cdc5dba5fa015d0038fbd4efb17fa59a4874bf1,13646167
6dc157fa79f808bd7cf577af09efaee2dad035d658e549d4219e705a181d8917,13603565
092a09c2b274437cacc47579598007d841832357369735c3c770b2ba6dca3454,13265811
ddf769177b23ea04b73299eaee37804d8512999f956ee21dbaabb6622359a716,13170984
b200945b3dd7c23a6e1c971016f448d15002495c7052015d02a6ffee8799cefc,13041690
8a3b5e4fd8e6d07528c9c135b7870bcb762579cfe7482293206f2eccd15ba1bb,12247873
7e9bfad018c1950019baa3fe0add38e21b1962f6e0cf7cbe6924ee128050f139,12095343
17b64d842f96792f07bb70ddf305659ced9df846d250d86b6e74dcfaf8c557f6,11786090
06b3bf665f5a7f680cb80e5a64f71e0da9a19047a80f494c706d4ea5aa27a134,11638262
a4d811c4d9232a14b4b863f7b290600a6a40ae804a8726ff693d2743e72317cc,11247396
875652920ad86e74f898a9dfa1a0a6d75c94f7aa794d3591659111603c7ff872,11207103
50194ca68ee38784d053d4b75993f937cf4eb74ebf602e124fa75af6c6977bb2,10984568
f1e19b96e127e36d5c7679b874e19c57b2707d5564932b8c33cf34b458ffc29f,10866968
4caad6e3c8e13ec6a9b728f55d576317952cf47f681e4f2b022b26bdff9741ee,10855899
640468fe4710ae80d62fb23cf3e67605844ef08acba20486dcf9f97a646c8bd9,10497598
e51ff25e8e8b11cd41d715f7d4c9fdb7fab43e8d0584177f7848c88cc22a207f,10345844
e35629fabae6d891a7f1a786d57d22c1ff0600937fc97e3af925534111442682,10334787
b78909ec489f868cc200fcd024780577f4ef3accc9ad94c18d67361f662acc9f,10186494
5ec8065873aecd0347288d3f7d1891b79d0b0f6b7c9a3909674fd1ffe8eb5416,10083380
b2c7f8644a16c0582f901aa5550cf4c2b2e24097397f02d2e9a4121c04b18e98,10071650
d55401a9ec43033039efaea8bd33197d153bc29a5f5a7b87f22ed14d808ac6ea,10065410
cbe29bbb26e04f465c1dee90c41ae7a3ca21aafccdb48d57c8b52752a624bd09,9513661
12c1683495eee1b714c9b0a145630b2e10ef92ec97be67cb46bf6ba23b83cd78,9489294
8c9ce0de516e04d52c78b54b7d51a5fbe406bdcc2e61d19d18646b064488947d,9469627
a12d7ca0af06ae5a59eb1a04dd7d87491ed56a261d786f690c215afbfc158338,9253192
d5da9c87173685e76cdc917aae4f772f247c8a0219355b10dd505768f6704e28,9043846
08f7ff6d9380a3c0442130789c39c3006b6648ba613a3cc9f34de200ae2ee057,9041040
96f5987d71fed507d96894deb9dc4079c41e556c4c778a433c39f6102cc9fd0b,8951079
8f4126a9adc0ca313d072d4bf1466f1d8126e1690905727f76199623f43c7758,8945463
69df291e20e78ed4f8f0584dd05f4c18be2f38e8153601b4b35475f5bed87a03,8943058
8b54694d5a9fbd1f3800ddd576b66da815b8f2318b4b156b6ee4f892f0ce86e3,8780305
760847a07bdff989438541d1bd27391e5b1cd1fc515f63c2408b3787fb1ff13d,8714027
207ae79917686557ee67bd32848b1907a6008b0b3127dc6d25decfea11234122,8709296
8b88d592a5c878010087aa788b9f155f12bde628f3b1918fe39283dfd5482f3b,8610809
