hour,hour_invocation,hour_of_day,day_of_week
672,46.34760705289673,0,0
673,29.212846347607055,1,0
674,16.996221662468514,2,0
675,9.962216624685139,3,0
676,6.530226700251889,4,0
677,9.521410579345089,5,0
678,8.816120906801007,6,0
679,15.094458438287154,7,0
680,32.197732997481104,8,0
681,52.24811083123426,9,0
682,66.42317380352645,10,0
683,77.71410579345088,11,0
684,82.73278401571105,12,0
685,77.37405541561712,13,0
686,74.64105793450881,14,0
687,77.3425692695214,15,0
688,84.37027707808564,16,0
689,80.1574307304786,17,0
690,79.64337796632638,18,0
691,72.41600136617853,19,0
692,80.90050377833752,20,0
693,76.73803526448363,21,0
694,77.19773299748111,22,0
695,68.45088161209067,23,0
696,47.43702770780856,0,1
697,32.6007556675063,1,1
698,19.357682619647353,2,1
699,9.395465994962217,3,1
700,9.905541561712846,4,1
701,5.044080604534005,5,1
702,5.774559193954659,6,1
703,12.770780856423174,7,1
704,29.855163727959695,8,1
705,49.559193954659946,9,1
706,67.48110831234257,10,1
707,78.89168765743074,11,1
708,77.67632241813602,12,1
709,74.69773299748111,13,1
710,75.27707808564232,14,1
711,78.73425692695214,15,1
712,76.96473551637278,16,1
713,77.56297229219143,17,1
714,66.89546599496221,18,1
715,69.20654911838791,19,1
716,74.09949622166248,20,1
717,71.28463476070529,21,1
718,75.61083123425692,22,1
719,59.56549118387909,23,1
720,44.42695214105793,0,2
721,30.56045340050378,1,2
722,16.221662468513856,2,2
723,8.746851385390427,3,2
724,5.969773299748111,4,2
725,3.646095717884131,5,2
726,4.6599496221662475,6,2
727,13.494962216624685,7,2
728,30.976070528967252,8,2
729,50.18144558767024,9,2
730,65.58564231738036,10,2
731,63.5998436549987,11,2
732,61.39168765743073,12,2
733,56.649874055415616,13,2
734,53.772040302267,14,2
735,61.26574307304786,15,2
736,62.60705289672544,16,2
737,60.74003300616694,17,2
738,59.07430730478589,18,2
739,67.56820219442429,19,2
740,80.54156171284635,20,2
741,79.2632241813602,21,2
742,69.70403022670025,22,2
743,54.69773299748111,23,2
744,39.97481108312343,0,3
745,25.887909319899244,1,3
746,12.046599496221662,2,3
747,8.507556675062972,3,3
748,8.280856423173804,4,3
749,7.14735516372796,5,3
750,7.720403022670025,6,3
751,14.716624685138537,7,3
752,32.14735516372796,8,3
753,52.27329974811083,9,3
754,62.015113350125944,10,3
755,65.43152591806974,11,3
756,65.23299748110831,12,3
757,57.69521410579345,13,3
758,57.14735516372796,14,3
759,64.85711804047598,15,3
760,62.651133501259444,16,3
761,64.1750629722922,17,3
762,63.02657865022149,18,3
763,61.39168765743073,19,3
764,75.61083123425692,20,3
765,70.06297229219143,21,3
766,67.12846347607052,22,3
767,49.98740554156171,23,3
768,40.11964735516373,0,4
769,22.909319899244334,1,4
770,13.841309823677582,2,4
771,8.620906801007557,3,4
772,6.0327455919395465,4,4
773,3.526448362720403,5,4
774,8.608312342569269,6,4
775,14.722921914357682,7,4
776,33.205289672544076,8,4
777,52.103274559193956,9,4
778,76.23425692695214,10,4
779,73.09823677581863,11,4
780,70.38594543824445,12,4
781,70.97607052896726,13,4
782,60.994962216624685,14,4
783,67.47481108312343,15,4
784,71.61299028427491,16,4
785,64.94332493702771,17,4
786,71.86397984886649,18,4
787,79.94962216624685,19,4
788,82.52518891687659,20,4
789,83.46347607052897,21,4
790,80.2455919395466,22,4
791,59.67884130982368,23,4
792,41.259445843828715,0,5
793,28.268261964735515,1,5
794,15.74307304785894,2,5
795,8.64609571788413,3,5
796,5.2015113350125946,4,5
797,4.023929471032746,5,5
798,7.959697732997482,6,5
799,15.869017632241814,7,5
800,35.44710327455919,8,5
801,59.89294710327456,9,5
802,70.87640059063668,10,5
803,68.50318063441915,11,5
804,69.67884130982367,12,5
805,62.840050377833755,13,5
806,62.41813602015113,14,5
807,70.39672544080604,15,5
808,78.73273690610614,16,5
809,74.0050377833753,17,5
810,70.64839746373664,18,5
811,75.76826196473552,19,5
812,90.59193954659949,20,5
813,91.70025188916877,21,5
814,76.90806045340051,22,5
815,64.4206549118388,23,5
816,48.186397984886646,0,6
817,37.83375314861461,1,6
818,21.605793450881613,2,6
819,10.837531486146096,3,6
820,6.712846347607053,4,6
821,6.889168765743073,5,6
822,7.405541561712846,6,6
823,15.623425692695214,7,6
824,32.92191435768262,8,6
825,66.36193867801616,9,6
826,86.6933032224442,10,6
827,96.06748892556242,11,6
828,91.54911838790933,12,6
829,81.39168765743074,13,6
830,80.85012594458438,14,6
831,89.68991574741597,15,6
832,82.43702770780857,16,6
833,79.7103274559194,17,6
834,80.00629722921914,18,6
835,85.044080604534,19,6
836,96.183879093199,20,6
837,88.47607052896726,21,6
838,88.78463476070529,22,6
839,69.09949622166248,23,6
840,52.02141057934509,0,0
841,35.95088161209068,1,0
842,17.455919395465994,2,0
843,9.61586901763224,3,0
844,7.134760705289673,4,0
845,5.396725440806046,5,0
846,5.623425692695213,6,0
847,12.248110831234255,7,0
848,34.2632241813602,8,0
849,55.46599496221663,9,0
850,74.77329974811083,10,0
851,80.20962302010844,11,0
852,80.95717884130983,12,0
853,80.56045340050377,13,0
854,78.89168765743074,14,0
855,81.59319899244333,15,0
856,84.42927217287551,16,0
857,84.58438287153652,17,0
858,87.15365239294711,18,0
859,78.03526448362722,19,0
860,84.47103274559193,20,0
861,84.33249370277078,21,0
862,78.79722921914359,22,0
863,69.72921914357683,23,0
864,51.34130982367758,0,1
865,31.612090680100756,1,1
866,20.484886649874056,2,1
867,11.996221662468514,3,1
868,6.404282115869018,4,1
869,8.620906801007557,5,1
870,8.293450881612092,6,1
871,8.986146095717885,7,1
872,26.46725440806045,8,1
873,51.0831234256927,9,1
874,66.272040302267,10,1
875,79.25062972292191,11,1
876,75.61712846347606,12,1
877,75.52896725440806,13,1
878,80.35894206549118,14,1
879,83.08564231738036,15,1
880,86.13350125944585,16,1
881,83.14861460957178,17,1
882,76.73803526448363,18,1
883,79.23803526448363,19,1
884,84.93073047858941,20,1
885,70.26448362720403,21,1
886,67.59445843828715,22,1
887,57.858942065491185,23,1
888,39.91813602015113,0,2
889,27.248110831234257,1,2
890,14.955919395465996,2,2
891,10.226700251889168,3,2
892,9.527707808564232,4,2
893,4.282115869017632,5,2
894,5.251889168765743,6,2
895,13.25566750629723,7,2
896,36.876574307304786,8,2
897,71.97103274559194,9,2
898,86.47832884565274,10,2
899,86.86397984886649,11,2
900,85.0606823906572,12,2
901,70.17632241813602,13,2
902,73.36272040302266,14,2
903,90.11964735516374,15,2
904,88.23047858942066,16,2
905,79.53400503778337,17,2
906,82.23327498612474,18,2
907,80.67380352644837,19,2
908,87.77707808564233,20,2
909,85.36523929471034,21,2
910,75.93198992443325,22,2
911,65.77455919395466,23,2
912,47.638539042821165,0,3
913,25.698992443324936,1,3
914,13.513853904282115,2,3
915,12.405541561712846,3,3
916,7.890428211586902,4,3
917,4.848866498740554,5,3
918,8.003778337531486,6,3
919,15.434508816120907,7,3
920,35.31486146095718,8,3
921,64.84886649874055,9,3
922,80.06297229219143,10,3
923,84.38916876574308,11,3
924,74.44627812038564,12,3
925,66.90176322418137,13,3
926,72.07178841309823,14,3
927,84.37860222857874,15,3
928,84.92443324937027,16,3
929,79.16876574307304,17,3
930,76.3621901100358,18,3
931,69.67254408060452,19,3
932,81.70025188916877,20,3
933,84.47732997481108,21,3
934,77.21662468513854,22,3
935,61.813602015113354,23,3
936,37.424433249370274,0,4
937,27.2544080604534,1,4
938,13.85390428211587,2,4
939,11.857682619647356,3,4
940,11.360201511335013,4,4
941,3.853904282115869,5,4
942,4.930730478589421,6,4
943,15.258186397984888,7,4
944,35.95717884130982,8,4
945,60.056675062972296,9,4
946,73.18010075566751,10,4
947,92.17222388250865,11,4
948,80.03778337531486,12,4
949,70.79974811083123,13,4
950,71.16498740554155,14,4
951,82.14361951927592,15,4
952,87.75349015924517,16,4
953,86.54314135678607,17,4
954,129.18479505381268,18,4
955,125.22693788318047,19,4
956,123.02686817800168,20,4
957,114.00458798128822,21,4
958,99.51511335012596,22,4
959,78.09193954659949,23,4
960,46.1272040302267,0,5
961,32.103274559193956,1,5
962,15.220403022670025,2,5
963,8.526448362720403,3,5
964,6.328715365239295,4,5
965,5.302267002518891,5,5
966,6.56801007556675,6,5
967,19.124685138539043,7,5
968,43.04156171284635,8,5
969,80.01750416257525,9,5
970,83.48866498740554,10,5
971,97.94859753234,11,5
972,93.17380352644837,12,5
973,83.9168765743073,13,5
974,78.23764440198038,14,5
975,78.70906801007555,15,5
976,76.08942065491185,16,5
977,72.0969773299748,17,5
978,68.55163727959697,18,5
979,72.10327455919396,19,5
980,77.92495439937463,20,5
981,75.93198992443325,21,5
982,74.40176322418137,22,5
983,57.537783375314866,23,5
984,39.886649874055415,0,6
985,3.2934508816120904,1,6
986,3.2808564231738035,2,6
987,1.3664987405541562,3,6
988,1.4231738035264485,4,6
989,1.6246851385390428,5,6
990,3.929471032745592,6,6
991,9.036523929471032,7,6
992,28.476070528967252,8,6
993,59.861460957178835,9,6
994,77.0088161209068,10,6
995,80.09435170558852,11,6
996,70.11964735516374,12,6
997,62.544080604534,13,6
998,67.36775818639799,14,6
999,70.95717884130983,15,6
1000,77.01061532925512,16,6
1001,74.26674636041497,17,6
1002,73.27455919395466,18,6
1003,74.79219143576826,19,6
1004,84.58438287153652,20,6
1005,78.25566750629723,21,6
1006,76.32871536523929,22,6
1007,60.22040302267002,23,6
1008,42.8904282115869,0,0
1009,26.857682619647353,1,0
1010,16.265743073047858,2,0
1011,9.880352644836272,3,0
1012,5.856423173803526,4,0
1013,4.4395465994962215,5,0
1014,7.60705289672544,6,0
1015,12.789672544080606,7,0
1016,29.005037783375315,8,0
1017,51.47984886649874,9,0
1018,64.32619647355163,10,0
1019,79.89582888613755,11,0
1020,75.8249370277078,12,0
1021,72.82745591939548,13,0
1022,79.64105793450882,14,0
1023,83.00377833753149,15,0
1024,85.05037783375315,16,0
1025,78.28324502736038,17,0
1026,73.42569269521411,18,0
1027,74.25062972292191,19,0
1028,76.68136020151134,20,0
1029,78.01007556675063,21,0
1030,73.727959697733,22,0
1031,62.556675062972296,23,0
1032,42.779900981499175,0,1
1033,25.76826196473552,1,1
