hour,hour_invocation,hour_of_day,day_of_week
3528,183.83333333333334,0,0
3529,186.16666666666666,1,0
3530,206.45,2,0
3531,174.35,3,0
3532,164.58333333333334,4,0
3533,164.66666666666666,5,0
3534,165.65,6,0
3535,174.96666666666667,7,0
3536,178.83333333333334,8,0
3537,186.61666666666667,9,0
3538,279.65,10,0
3539,294.75,11,0
3540,261.05,12,0
3541,246.31666666666666,13,0
3542,225.9,14,0
3543,232.06666666666666,15,0
3544,269.46666666666664,16,0
3545,268.28333333333336,17,0
3546,264.1333333333333,18,0
3547,266.81666666666666,19,0
3548,246.0,20,0
3549,201.53333333333333,21,0
3550,187.51666666666668,22,0
3551,220.9,23,0
3552,170.36666666666667,0,1
3553,189.95,1,1
3554,182.9,2,1
3555,149.93333333333334,3,1
3556,140.11666666666667,4,1
3557,119.1,5,1
3558,116.1,6,1
3559,136.73333333333332,7,1
3560,118.46666666666667,8,1
3561,155.41666666666666,9,1
3562,200.31666666666666,10,1
3563,203.41666666666666,11,1
3564,162.26666666666668,12,1
3565,148.6,13,1
3566,135.53333333333333,14,1
3567,152.05,15,1
3568,209.96666666666667,16,1
3569,217.45,17,1
3570,132.96666666666667,18,1
3571,113.45,19,1
3572,100.9,20,1
3573,91.4,21,1
3574,104.65,22,1
3575,101.95,23,1
3576,114.28333333333333,0,2
3577,123.58333333333333,1,2
3578,140.35,2,2
3579,150.9,3,2
3580,165.38333333333333,4,2
3581,149.25,5,2
3582,127.33333333333333,6,2
3583,127.8,7,2
3584,126.4,8,2
3585,124.38333333333334,9,2
3586,127.75,10,2
3587,52.28333333333333,11,2
3588,55.46666666666667,12,2
3589,102.15,13,2
3590,98.91666666666667,14,2
3591,97.31666666666666,15,2
3592,70.86666666666666,16,2
3593,65.85,17,2
3594,735.7,18,2
3595,1027.4166666666667,19,2
3596,613.5166666666667,20,2
3597,250.48333333333332,21,2
3598,224.96666666666667,22,2
3599,249.41666666666666,23,2
3600,227.81666666666666,0,3
3601,200.46666666666667,1,3
3602,177.51666666666668,2,3
3603,222.13333333333333,3,3
3604,193.96666666666667,4,3
3605,191.45,5,3
3606,196.01666666666668,6,3
3607,208.28333333333333,7,3
3608,206.06666666666666,8,3
3609,228.86666666666667,9,3
3610,353.55,10,3
3611,340.5,11,3
3612,328.93333333333334,12,3
3613,307.1,13,3
3614,267.71666666666664,14,3
3615,287.6666666666667,15,3
3616,286.75,16,3
3617,324.23333333333335,17,3
3618,259.03333333333336,18,3
3619,320.96666666666664,19,3
3620,276.3333333333333,20,3
3621,256.8333333333333,21,3
3622,203.38333333333333,22,3
3623,253.3,23,3
3624,185.7,0,4
3625,219.4,1,4
3626,179.45,2,4
3627,190.93333333333334,3,4
3628,185.23333333333332,4,4
3629,188.3,5,4
3630,192.81666666666666,6,4
3631,214.66666666666666,7,4
3632,236.26666666666668,8,4
3633,241.01666666666668,9,4
3634,325.18333333333334,10,4
3635,339.81666666666666,11,4
3636,415.3833333333333,12,4
3637,413.45,13,4
3638,418.68333333333334,14,4
3639,455.53333333333336,15,4
3640,497.3,16,4
3641,327.6666666666667,17,4
3642,312.85,18,4
3643,315.71666666666664,19,4
3644,279.75,20,4
3645,259.8666666666667,21,4
3646,220.0,22,4
3647,303.28333333333336,23,4
3648,238.35,0,5
3649,219.68333333333334,1,5
3650,191.71666666666667,2,5
3651,185.13333333333333,3,5
3652,174.11666666666667,4,5
3653,178.73333333333332,5,5
3654,232.93333333333334,6,5
3655,204.23333333333332,7,5
3656,175.95,8,5
3657,297.05,9,5
3658,378.4166666666667,10,5
3659,394.1,11,5
3660,338.8833333333333,12,5
3661,305.4,13,5
3662,309.4,14,5
3663,313.5833333333333,15,5
3664,290.05,16,5
3665,339.4166666666667,17,5
3666,266.7,18,5
3667,219.16666666666666,19,5
3668,318.3833333333333,20,5
3669,248.45,21,5
3670,225.56666666666666,22,5
3671,232.68333333333334,23,5
3672,180.45,0,6
3673,190.48333333333332,1,6
3674,225.06666666666666,2,6
3675,188.06666666666666,3,6
3676,192.1,4,6
3677,177.71666666666667,5,6
3678,175.18333333333334,6,6
3679,180.83333333333334,7,6
3680,212.66666666666666,8,6
3681,263.81666666666666,9,6
3682,350.21666666666664,10,6
3683,368.1,11,6
3684,384.25,12,6
3685,330.55,13,6
3686,296.21666666666664,14,6
3687,351.53333333333336,15,6
3688,336.95,16,6
