hour,hour_invocation,hour_of_day,day_of_week
0,57.92483660130719,0,0
1,40.71078431372549,1,0
2,19.109477124183005,2,0
3,11.086601307189543,3,0
4,12.459150326797387,4,0
5,11.830065359477123,5,0
6,10.506535947712418,6,0
7,23.161764705882355,7,0
8,46.71568627450981,8,0
9,65.53921568627452,9,0
10,82.81862745098039,10,0
11,95.19607843137256,11,0
12,85.7843137254902,12,0
13,87.84313725490196,13,0
14,89.52614379084967,14,0
15,89.41176470588236,15,0
16,93.61111111111111,16,0
17,90.88235294117648,17,0
18,90.52287581699346,18,0
19,81.70751633986927,19,0
20,91.13562091503267,20,0
21,95.31045751633988,21,0
22,90.84967320261438,22,0
23,80.51470588235294,23,0
24,55.05718954248366,0,1
25,35.66176470588235,1,1
26,20.522875816993462,2,1
27,13.03921568627451,3,1
28,9.918300653594772,4,1
29,10.392156862745098,5,1
30,9.844771241830065,6,1
31,18.823529411764707,7,1
32,39.787581699346404,8,1
33,60.70261437908496,9,1
34,82.69607843137256,10,1
35,94.13398692810458,11,1
36,90.61274509803921,12,1
37,92.21405228758171,13,1
38,94.15849673202614,14,1
39,95.26143790849673,15,1
40,86.2173202614379,16,1
41,86.45424836601306,17,1
42,79.98366013071896,18,1
43,80.28594771241829,19,1
44,83.98692810457516,20,1
45,79.77124183006535,21,1
46,80.65359477124183,22,1
47,62.92483660130719,23,1
48,46.421568627450974,0,2
49,34.01960784313726,1,2
50,14.125816993464051,2,2
51,8.913398692810457,3,2
52,5.245098039215686,4,2
53,8.921568627450979,5,2
54,10.490196078431373,6,2
55,17.998366013071898,7,2
56,32.65522875816993,8,2
57,47.622549019607845,9,2
58,57.017973856209146,10,2
59,63.496732026143796,11,2
60,65.13071895424837,12,2
61,60.71895424836601,13,2
62,56.94444444444444,14,2
63,56.87908496732026,15,2
64,61.90359477124183,16,2
65,63.31006979062812,17,2
66,63.68464052287582,18,2
67,71.7892156862745,19,2
68,90.28594771241829,20,2
69,87.39379084967321,21,2
70,80.82516339869281,22,2
71,70.25326797385621,23,2
72,44.754901960784316,0,3
73,32.24673202614379,1,3
74,21.176470588235293,2,3
75,7.8349673202614385,3,3
76,5.996732026143791,4,3
77,4.084967320261438,5,3
78,6.111111111111112,6,3
79,17.941176470588236,7,3
80,33.20261437908496,8,3
81,45.032679738562095,9,3
82,58.56209150326797,10,3
83,75.02450980392156,11,3
84,72.35792622133599,12,3
85,69.05228758169935,13,3
86,66.53594771241829,14,3
