hour,median,mean,std,p05,p50,p95,true_hourly_energy,mean_minus_truth
745.0,322249.3302150158,322249.3280736885,0.006855592398091769,322249.32218503836,322249.3302150158,322249.3406539864,306702.7397880623,15546.588285626203
746.0,263735.8029269006,262351.85277714074,1694.9962883766402,260275.91048979523,263735.8029269006,263735.81997565733,242713.04437912867,19638.808398012072
747.0,230342.59186210707,229560.11465480571,1465.2227628656947,227252.76848535292,230342.59186210707,231199.61507029584,225520.5522738354,4039.56238097031
748.0,208704.70728084608,210991.79366523976,6144.195621097416,204655.48068551577,208704.70728084608,221291.84675516767,224164.51065869056,-13172.716993450798
749.0,202211.96009751578,211600.90417581628,15250.807024878543,197466.57838245752,202211.96009751578,236157.99056913058,218509.2467482985,-6908.3425724822155
750.0,223410.69005031066,234358.98581545247,15849.69207711829,219315.6926605005,223410.69005031066,257208.8872879381,221387.27534008696,12971.710475365515
751.0,258382.66962279746,261596.6583937015,15931.477328996718,239241.92570898592,258382.66962279746,288401.51157816366,255303.57927189083,6293.079121810675
752.0,337837.29157117713,339197.1845455798,13184.903735950358,320921.12999105087,337837.29157117713,360019.55769126123,334938.133578348,4259.0509672318
753.0,416358.0070361926,413361.31114696467,12023.819835574617,395303.0685324361,416358.0070361926,434745.38006690843,419312.8818128557,-5951.570665891049
754.0,459993.15950679005,459476.91705425613,11788.374325968829,445591.33977840183,459993.15950679005,478173.40129112557,456246.9648544425,3229.952199813619
755.0,484908.1012326669,485087.06536737736,9437.003734866117,472859.1771987496,484908.1012326669,499108.28436514887,446153.6565061555,38933.40886122186
756.0,472458.66340151447,471392.3426143148,9853.947012942557,458543.8633104823,472458.66340151447,488827.6141543234,468460.2102582645,2932.132356050308
757.0,458235.1674824139,457977.52400293766,11350.445284000856,438447.9855658964,458235.1674824139,473493.5803908378,440003.40027688816,17974.123726049496
758.0,457976.88533235685,455958.34901383816,12340.876351016657,438594.19119757763,457976.88533235685,473793.57856330724,438148.7615774329,17809.587436405243
759.0,458995.57389409357,459631.1468681571,11389.6222108468,443478.95130828914,458995.57389409357,478211.074232666,451534.2570612543,8096.889806902793
760.0,460810.8873391863,460399.81168347585,9880.184076654788,445175.044097797,460810.8873391863,474022.7444229489,459564.0699196074,835.7417638684274
761.0,462204.3737210616,461595.90426665806,6371.719557292019,451002.13886945415,462204.3737210616,468148.835156777,464572.9042406489,-2976.999973990838
762.0,469894.51276278985,468565.45036025974,8990.2529624052,454035.7048151069,469894.51276278985,484090.3038350269,445339.8756278776,23225.57473238214
763.0,496580.7361339878,494401.0363777907,9421.60952367134,481884.00402450224,496580.7361339878,507333.34177150845,454001.9720560711,40399.064321719576
764.0,523664.7843742008,524441.172178878,7532.82060689442,513273.6067909619,523664.7843742008,535561.9846752491,506243.19790954137,18197.974269336613
765.0,526665.465556257,531109.097116228,10781.928381670947,519129.72959495755,526665.465556257,548692.1420565074,486247.00290972006,44862.0942065079
766.0,505129.8133238843,502247.87213679106,15620.53323085813,476744.3143951993,505129.8133238843,519195.31424778834,475657.95828562445,26589.91385116661
767.0,436290.714116636,428873.1087353116,19313.930958966383,394031.54109263106,436290.714116636,449226.084987084,408795.4160253368,20077.692709974828
768.0,375586.44591487775,374058.7601257743,19324.76507625954,345711.24898439937,375586.44591487775,399984.95947638166,368838.36361209216,5220.39651368215
769.0,312916.4030311199,312781.35489963903,13969.620708475317,291779.5007273968,312916.4030311199,333263.9524655434,293716.9378274329,19064.417072206154
770.0,246718.13274164987,248340.2607956699,22327.178434451434,206013.12707188478,246718.13274164987,276216.95022450504,251232.0635266236,-2891.802730953699
771.0,230283.29975181367,225784.3513224268,17478.663459454412,193357.10012308607,230283.29975181367,244481.51109579531,226042.5633710215,-258.21204859469435
772.0,203306.02649303954,206040.7642471332,17428.545103299482,182962.9346669407,203306.02649303954,232890.7388789392,213308.84628313652,-7268.082036003325
773.0,205606.14778001368,204468.59748859593,16318.4004027083,183004.70468143214,205606.14778001368,228606.08445621887,200837.6737168635,3630.9237717324286
774.0,230381.94483947888,227393.9308016251,16089.02412421961,192456.95143613394,230381.94483947888,244146.6562865974,225688.0957720052,1705.8350296198914
775.0,271347.5343174221,268745.90951981867,12440.037468479959,248196.55806115063,271347.5343174221,284420.8186297118,254803.68019345708,13942.229326361587
776.0,344666.5865203608,341247.108505537,18412.52247711793,304951.8505338402,344666.5865203608,364272.42076106597,339600.61760083935,1646.4909046976245
777.0,428946.53108331247,421736.7034344758,20662.2404277503,386888.35478346323,428946.53108331247,443312.394422055,418418.1977288456,3318.505705630232
778.0,469788.45139401895,474002.20660742855,11450.782667887079,457407.7514573026,469788.45139401895,490652.154538666,506668.33109439793,-32666.124486969376
779.0,512281.48848125915,512632.34198123566,14807.299118119909,493871.1984173859,512281.48848125915,533349.0584933499,496491.52403786214,16140.81794337352
780.0,484185.35960708244,479085.6052279639,18444.285369515193,449030.4988903929,484185.35960708244,499733.02893218666,479060.0041989691,25.601028994773515
781.0,471949.6696972142,469844.722423055,13584.864092723208,448017.4422393917,471949.6696972142,485940.336774797,488950.60524353717,-19105.88282048219
782.0,467542.42968030187,468561.9625959088,15365.979190755379,449883.4215846387,467542.42968030187,494400.8251806917,452466.40501630015,16095.557579608634
783.0,475462.91154977,471177.1947139207,14542.586965133214,448182.1445434949,475462.91154977,491123.16612762597,477096.2834696088,-5919.088755688106
784.0,471749.4854649956,467270.10288011393,14744.05622752218,443474.5013188591,471749.4854649956,482406.9367523482,458987.687500143,8282.415379970917
785.0,479325.10640932375,476719.3541238786,16292.149308160688,449774.00289497053,479325.10640932375,494784.1529965661,467488.6712359876,9230.682887890958
786.0,487720.54364551994,489405.5313626211,15601.298788653381,462482.42537389434,487720.54364551994,513489.6131261241,493155.08016650466,-3749.5488038835465
787.0,517472.41035909473,516406.74013393355,15706.706458039916,493306.6265232646,517472.41035909473,541272.012693337,520822.9886978467,-4416.248563913163
788.0,532055.3730096153,532469.7283842434,12566.360031105603,512027.72497838095,532055.3730096153,548308.82137731,529568.6578783708,2901.0705058726016
789.0,532109.8458069204,534717.90962533,11977.318364716657,521588.84093123436,532109.8458069204,553146.9546225375,532183.7447995368,2534.1648257932393
790.0,507965.2225031728,511945.33746317157,14698.154787897764,494151.41790918587,507965.2225031728,536953.531939057,521146.6857748649,-9201.34831169335
791.0,451727.97966846684,450995.6664786639,15307.377309599437,433258.854369528,451727.97966846684,472782.18775106926,447717.6123740671,3278.054104596842
792.0,388049.2613470142,386688.5624002479,11255.097776207464,370171.6042933753,388049.2613470142,401760.1395660229,374518.8342985216,12169.72810172633
793.0,323738.1893020926,321266.66522872745,11793.63718655433,304255.82461508084,323738.1893020926,337920.60459349473,317895.7657306114,3370.8994981160504
