mc_mean,mc_median,std,p05,p50,p95,true_hourly_carbon,mc_mean_minus_truth
164672889.85697764,164674685.87692934,1329958.398711714,163216311.73752454,164674685.87692934,167110411.012883,158326088.3333935,6346801.523584127
133661733.45912507,133428214.13580939,2094534.5897387187,130539326.56929867,133428214.13580939,138332137.42848122,129225279.08833568,4436454.370789394
117989982.7916982,116801289.31819774,2970556.2348245704,114341657.07675476,116801289.31819774,123137665.30486628,108937702.7758762,9052280.015822008
106321888.70759149,105578216.61108431,4827136.623435719,95900337.19572008,105578216.61108431,114750456.48627812,100167911.58783588,6153977.119755611
102160258.1321764,100586129.6455932,8944242.375358995,89606565.8467726,100586129.6455932,119680947.99509457,87183004.36010362,14977253.772072777
111596072.74292085,110199388.84844734,8941801.725138316,98383138.97906959,110199388.84844734,127375064.33483721,87549811.90599078,24046260.836930066
124157642.52083202,123655629.63775985,9488032.944856457,108850167.87509589,123655629.63775985,141378907.5351938,104036208.55329551,20121433.96753651
160583872.19345543,160335361.2119339,9986224.089244721,144419078.20053232,160335361.2119339,178040246.4235302,136822227.56675515,23761644.626700282
196579276.7384409,197836272.90532368,11367515.504132336,177729953.75666296,197836272.90532368,213419939.00059992,163431388.81537864,33147887.923062265
222845777.292051,224371030.5215661,11414040.092053987,203229978.62124518,224371030.5215661,240180147.5963112,178698248.72453952,44147528.56751147
235957035.8519703,236901615.04487932,10699367.278960107,218038429.84285367,236901615.04487932,252689288.83311373,178961154.6977491,56995881.15422118
232716739.13498792,233705119.9339903,9630783.768500816,213977223.1026581,233705119.9339903,247020444.1105769,214475138.06254122,18241601.072446704
228735139.27978268,229621322.14166638,12340441.080506854,207518442.39282626,229621322.14166638,247554916.52350914,190644673.2719701,38090466.00781259
227200370.55234027,227456189.29941094,11338895.911617875,207594080.2865645,227456189.29941094,244185320.84333488,188176130.1222759,39024240.43006438
228102909.73061815,228571253.39582956,12727463.864999373,207886121.83301473,228571253.39582956,249181291.69234937,191468586.36425427,36634323.36636388
230483704.9072465,230325358.914715,11035859.630831204,212758770.28593767,230325358.914715,247620343.73086497,208444475.19343632,22039229.713810176
234664419.42031908,235103270.4944472,10977932.247841842,215275352.92137203,235103270.4944472,256543332.52880794,205359806.59053645,29304612.829782635
237562738.84829053,238086474.96782857,11188717.098999586,218922793.0729426,238086474.96782857,255939541.69668677,188730585.89233825,48832152.95595229
253756997.65758815,253933646.41348332,13673114.766652582,230433651.66840252,253933646.41348332,276665520.36975425,201259074.21245632,52497923.44513184
232763999.95686448,232449340.9859479,11296704.939802483,216108244.18252712,232449340.9859479,251649362.30061504,228285307.6653286,4478692.291535884
