hour,true_hourly_energy,avg_invocation_rate
749,267982.92731400003,18.916666666666668
750,275004.759852,20.433333333333334
751,353142.57716600003,38.95
752,517567.26465800003,85.08333333333333
753,660335.3461180001,138.35
754,705153.1941680001,164.13333333333333
755,687401.0925660001,173.17543859649123
756,720039.9583860001,172.65
757,686115.0226280001,152.7
758,684977.5054580001,151.25
759,694783.246872,171.6551724137931
760,713710.12843,165.81666666666666
761,715941.4656340001,169.85
762,689840.2942420001,166.81034482758622
763,703022.370174,162.48333333333332
764,758070.651502,200.11666666666667
765,738996.40312,185.43333333333334
766,728831.5315360001,177.66666666666666
767,638312.0078560001,132.3
768,577090.2522580001,106.18333333333334
769,436541.59646000003,60.63333333333333
770,344434.82714,36.63333333333333
771,286863.849586,22.816666666666666
772,256796.3646,15.966666666666667
773,226808.180232,9.333333333333334
774,284899.128898,22.783333333333335
775,349915.398024,38.96666666666667
776,526484.8151260001,87.88333333333334
777,657998.5302720001,137.9
778,748887.9340160001,201.76666666666668
779,745108.2558720001,193.46666666666667
780,726356.9426620001,186.28813559322035
781,738483.5247220001,187.85
782,701001.6056560001,161.43333333333334
783,731203.3794220001,178.58333333333334
784,694348.6236360001,189.53571428571428
785,719494.9263380001,171.88333333333333
786,747778.941572,190.2
787,766407.2690800001,211.6
788,771921.114302,218.41666666666666
789,770380.1572080001,220.9
790,762805.4039220001,212.38333333333333
791,696444.989886,157.95
792,590783.468904,109.2
793,485201.59488600004,74.81666666666666
794,364577.82483600004,41.666666666666664
795,287110.00305,22.883333333333333
796,246890.321476,13.766666666666667
797,232845.221854,10.65
798,277549.176572,21.066666666666666
799,364841.56349200004,42.0
800,545299.6217980001,93.81666666666666
801,698094.4671140001,158.51666666666668
802,712100.6051520001,187.58620689655172
803,724104.8827460001,181.3050847457627
804,736226.9386780001,184.41666666666666
805,711053.2565020001,166.31666666666666
806,708592.6804640001,165.2
807,742239.3276820001,186.31666666666666
808,738764.9367000001,208.3793103448276
809,753215.3342080001,195.86666666666667
810,717015.2813860001,186.98275862068965
811,756151.3366,200.53333333333333
812,780668.3615400001,239.76666666666668
813,780282.0861000001,242.7
814,759479.1161900001,203.55
