x_last_hour,x_start_hour,predicted,target,error_rates
58.0615,47.159092,46.86866,42.43316,10.452912
42.43316,32.439842,31.142555,27.47995,13.328282
27.47995,17.219254,16.672493,12.787437,30.381813
12.787437,9.284763,10.096672,9.030754,11.8032
9.030754,6.3369026,5.250431,8.790112,40.26889
8.790112,3.8703232,3.8967056,7.5869026,48.639046
7.5869026,4.9465256,8.441372,8.19519,3.0039752
8.19519,14.324871,17.612587,15.621662,12.744641
15.621662,32.88102,34.274643,34.124336,0.44046775
34.124336,53.26747,53.880836,55.48797,2.896361
55.48797,69.61899,66.41783,65.82888,0.89466983
65.82888,67.51106,75.22587,69.45539,8.308177
69.45539,65.167114,69.970695,69.24465,1.0485196
69.24465,60.13369,66.19873,61.243317,8.091354
61.243317,57.07888,65.27802,60.661766,7.6098294
60.661766,65.033424,66.81761,68.84566,2.945786
68.84566,66.45722,67.152115,66.50401,0.97453034
66.50401,64.47539,66.96894,68.12166,1.6921455
68.12166,62.707222,69.00752,66.90255,3.146327
66.90255,71.723465,77.43185,65.167114,18.820433
65.167114,85.49465,86.308685,80.2607,7.53543
80.2607,84.1377,89.39345,74.37166,20.198273
74.37166,73.99065,79.77303,71.25668,11.951651
71.25668,58.0615,60.310635,53.0615,13.661758
53.0615,42.43316,44.567955,42.5869,4.6517973
42.5869,27.47995,29.585749,24.318184,21.661013
24.318184,12.787437,15.9250145,14.692516,8.388612
14.692516,9.030754,10.251537,9.151073,12.0255165
9.151073,8.790112,6.6630745,6.4037476,4.049612
6.4037476,7.5869026,5.6910057,3.7433205,52.030952
3.7433205,8.19519,8.818871,9.137703,3.4891963
9.137703,15.621662,19.175835,15.6283455,22.69907
15.6283455,34.124336,40.33947,35.24733,14.446883
35.24733,55.48797,59.51164,55.307487,7.6014137
55.307487,65.82888,71.00635,80.92246,12.253847
80.92246,69.45539,80.94667,77.59358,4.3213477
77.59358,69.24465,74.80041,74.71449,0.11499056
74.71449,61.243317,70.237915,75.34091,6.773208
75.34091,60.661766,69.846725,64.745995,7.878064
64.745995,68.84566,71.011246,71.62433,0.8559702
71.62433,66.50401,71.00793,76.017,6.58941
76.017,68.12166,72.18447,68.937164,4.7105317
68.937164,66.90255,76.85868,76.283424,0.754104
76.283424,65.167114,83.127174,84.86631,2.0492651
84.86631,80.2607,89.1675,87.600266,1.7890788
87.600266,74.37166,88.731316,88.59626,0.15243933
88.59626,71.25668,81.960495,85.18048,3.7801921
85.18048,53.0615,64.136116,63.34893,1.2426187
63.34893,42.5869,46.934822,43.796795,7.16497
43.796795,24.318184,31.062916,30.006687,3.5199776
30.006687,14.692516,18.917072,16.711231,13.199753
16.711231,9.151073,10.45623,9.177811,13.929461
9.177811,6.4037476,6.4290924,5.5213966,16.439606
5.5213966,3.7433205,5.881054,4.271393,37.68469
4.271393,9.137703,9.886429,8.4492,17.01024
8.4492,15.6283455,20.672562,16.844921,22.722816
16.844921,35.24733,41.652676,37.627007,10.698882
37.627007,55.307487,64.48989,63.576206,1.437149
63.576206,80.92246,80.98911,75.23511,7.648032
75.23511,77.59358,85.50059,72.71594,17.581627
72.71594,74.71449,78.17369,73.963905,5.6916757
73.963905,75.34091,76.355995,66.704544,14.468956
66.704544,64.745995,74.77688,66.25668,12.859374
66.25668,71.62433,75.846344,74.72594,1.4993551
74.72594,76.017,76.28063,83.57459,8.727486
83.57459,68.937164,78.3015,78.55615,0.32416803
78.55615,76.283424,84.43048,74.99309,12.584351
74.99309,84.86631,91.83639,80.42781,14.184865
80.42781,87.600266,99.192276,96.1631,3.1500385
96.1631,88.59626,102.37665,97.33957,5.1747494
97.33957,85.18048,95.10197,81.6377,16.492704
81.6377,63.34893,75.84093,68.382355,10.907159
68.382355,43.796795,49.779648,51.149734,2.6785803
51.149734,30.006687,28.504326,40.16043,29.023855
40.16043,16.711231,17.181488,22.934494,25.084513
22.934494,9.177811,8.7887,11.504017,23.603205
11.504017,5.5213966,5.4739227,7.1256714,23.180252
7.1256714,4.271393,4.79895,7.3128357,34.376343
7.3128357,8.4492,9.435177,7.8609657,20.025671
7.8609657,16.844921,17.01173,16.584229,2.5777605
16.584229,37.627007,34.670715,34.946526,0.78923506
34.946526,63.576206,56.464737,70.44302,19.843393
