x_last_hour,x_start_hour,predicted,mc_mean,mc_std,target,error_pct_baseline,error_pct_mcmean,p01,p05,p10,p50,p90,p95,p99,comp_bulk_rate,comp_pos_rate,comp_neg_rate,r_mean,r_abs_mean,batch_id,batch_cov90,batch_cov98
165.96667,89.066666,51.932594,77.21698,42.544796,106.933334,51.434605,27.789608,8.5843,33.89367,41.308678,62.389397,136.45702,166.21126,225.18323,0.6006,0.36159998,0.0378,25.253422,31.377287,0,0.7307692170143127,0.8557692170143127
106.933334,55.316666,38.520485,64.05946,42.740074,39.916664,3.497735,60.48301,0.0,21.241814,27.896568,48.69375,122.999664,153.46794,213.8479,0.6046,0.3586,0.0368,25.410423,31.377031,0,0.7307692170143127,0.8557692170143127
39.916664,34.533333,33.951035,59.440018,42.90548,16.316658,108.075905,264.2904,0.0,16.672363,23.327118,43.907135,119.3121,151.46887,210.82843,0.60569996,0.3579,0.036399998,25.295315,31.344206,0,0.7307692170143127,0.8557692170143127
16.316658,17.09999,23.214066,48.854366,41.9589,11.699997,98.410866,317.55878,0.0,4.7650604,12.499741,33.3405,108.80702,138.68416,193.34303,0.60469997,0.3554,0.039899997,25.18679,31.298388,0,0.7307692170143127,0.8557692170143127
11.699997,10.21666,10.088135,36.662674,41.349186,7.599991,32.738773,382.40417,0.0,0.0,0.0,20.248009,95.328865,124.78584,181.83005,0.6044,0.3592,0.036399998,25.35782,31.246017,0,0.7307692170143127,0.8557692170143127
7.599991,13.666664,7.3741302,34.052025,40.57403,7.699997,4.2320366,342.23425,0.0,0.0,0.0,17.547394,92.158936,121.06413,179.88463,0.6042,0.3581,0.037699997,25.056896,31.114267,0,0.7307692170143127,0.8557692170143127
7.699997,15.116661,14.230087,40.944675,41.706047,9.299995,53.01177,340.26553,0.0,0.0,4.208786,24.40335,99.69992,132.4568,183.99583,0.5981,0.36389998,0.038,25.786013,31.696194,0,0.7307692170143127,0.8557692170143127
9.299995,34.13333,17.207092,43.83013,42.43183,19.816666,13.168579,121.17814,0.0,0.015182495,6.8330708,27.663895,103.23371,132.83646,193.90298,0.5999,0.3655,0.0346,25.95794,31.79552,0,0.7307692170143127,0.8557692170143127
19.816666,45.783333,28.542404,54.444088,42.58615,41.38333,31.029224,31.56043,0.0,10.503479,18.37072,38.747314,114.63671,144.64432,207.40994,0.5999,0.36139998,0.0387,25.583744,31.550793,0,0.7307692170143127,0.8557692170143127
41.38333,58.449997,51.17884,76.92018,43.253174,43.491516,17.675457,76.862495,8.074556,33.00245,40.464653,61.745995,138.39496,167.95708,225.6677,0.59779996,0.364,0.0382,25.70231,31.910112,0,0.7307692170143127,0.8557692170143127
43.491516,99.49152,90.31005,115.285645,41.79595,66.62069,35.558567,73.04781,50.30179,73.03138,80.13837,100.51496,174.23686,203.19643,260.69495,0.60789996,0.3565,0.0356,24.975603,30.783684,0,0.7307692170143127,0.8557692170143127
66.62069,83.94915,97.29221,123.314445,43.26114,83.81481,16.079975,47.12727,54.753532,80.01354,86.92695,107.982735,183.7802,214.19397,271.06775,0.5958,0.3673,0.0369,26.022238,31.969519,0,0.7307692170143127,0.8557692170143127
83.81481,93.26666,103.921684,129.53497,42.66152,70.42373,47.56629,83.93654,64.00468,86.729774,93.55642,114.37849,188.9915,220.12097,280.09424,0.603,0.3617,0.035299998,25.6133,31.452387,0,0.7307692170143127,0.8557692170143127
70.42373,118.76666,109.35782,134.9115,42.96379,94.08333,16.235065,43.395756,67.60716,91.18428,98.90497,119.81462,195.06082,224.87146,285.55637,0.6015,0.36049998,0.038,25.553679,31.506506,0,0.7307692170143127,0.8557692170143127
94.08333,101.13559,113.31001,138.93037,42.835167,93.566666,21.100834,48.482765,72.04976,95.26436,102.94475,123.46989,198.8108,227.26389,287.4678,0.59779996,0.36429998,0.0379,25.620358,31.559666,0,0.7307692170143127,0.8557692170143127
93.566666,81.0,119.82117,145.46043,42.932194,83.549995,43.412537,74.09987,77.630035,101.64763,109.4559,130.01566,205.00711,235.45117,293.44586,0.5952,0.3663,0.0385,25.639284,31.679693,0,0.7307692170143127,0.8557692170143127
83.549995,88.33333,149.09196,174.66629,42.82129,103.50847,44.03842,68.745895,108.624405,132.0027,138.7267,159.29688,234.45164,265.08652,326.35995,0.6006,0.3628,0.036599997,25.574352,31.452587,0,0.7307692170143127,0.8557692170143127
103.50847,95.05454,162.07811,188.01492,43.883583,117.799995,37.587536,59.605206,119.15924,143.90457,151.34177,172.53491,249.26517,281.84964,337.00665,0.5916,0.3689,0.039499998,25.936827,32.181297,0,0.7307692170143127,0.8557692170143127
117.799995,144.76666,178.49654,204.05072,42.525963,165.5965,7.790044,23.22164,139.34094,161.21786,168.04369,188.70145,264.0197,293.97723,353.24774,0.6023,0.36229998,0.0354,25.55419,31.333292,0,0.7307692170143127,0.8557692170143127
165.5965,211.03333,188.08804,213.47495,42.714676,211.23334,10.957216,1.0611998,147.4833,170.80937,177.6352,198.28253,273.82608,303.0707,360.9021,0.604,0.3592,0.0368,25.3869,31.308262,0,0.7307692170143127,0.8557692170143127
211.23334,232.56667,194.85074,220.25139,42.341003,224.15,13.071272,1.7392842,155.583,177.57207,184.68822,205.01062,280.69403,309.0844,366.9359,0.60539997,0.3584,0.036199998,25.400661,31.166306,0,0.7307692170143127,0.8557692170143127
224.15,234.37288,196.67575,221.89229,42.605118,233.48334,15.7645445,4.9644012,156.75014,178.50221,185.80072,206.84901,281.31882,308.91818,370.85504,0.6049,0.359,0.0361,25.216526,31.301464,0,0.7307692170143127,0.8557692170143127
233.48334,212.89655,191.0191,216.81384,43.408775,174.85,9.24741,23.999905,149.07123,172.84557,180.39519,201.2136,277.4807,308.62903,368.03964,0.6006,0.3608,0.038599998,25.794767,31.845415,0,0.7307692170143127,0.8557692170143127
174.85,165.96667,160.68005,186.3539,42.53277,150.46667,6.7878017,23.850613,121.85127,143.65535,150.50836,171.13686,245.34274,275.53134,335.8452,0.6035,0.3628,0.0337,25.673853,31.27661,0,0.7307692170143127,0.8557692170143127
150.46667,106.933334,56.80165,82.5384,42.61502,107.23333,47.029854,23.029156,16.359793,39.71779,46.436386,67.368805,142.01564,170.94894,234.13371,0.5969,0.3665,0.036599997,25.72576,31.570421,0,0.7307692170143127,0.8557692170143127
107.23333,39.916664,42.338486,68.47097,42.70243,59.316666,28.622952,15.432939,1.6016055,25.146576,32.175964,53.177643,128.68468,158.62195,215.00117,0.5912,0.3709,0.0379,26.054453,31.851519,0,0.7307692170143127,0.8557692170143127
59.316666,16.316658,38.27172,64.27076,42.611225,34.35,11.416951,87.10557,0.0,21.187859,27.906456,48.962242,124.32259,153.84059,213.4801,0.604,0.36229998,0.0337,25.888233,31.601519,0,0.7307692170143127,0.8557692170143127
34.35,11.699997,35.360443,61.06729,42.665466,18.266663,93.57912,234.31006,0.0,16.911438,24.624107,45.817245,121.42546,151.14073,211.11928,0.5898,0.36769998,0.0425,25.484673,31.913462,0,0.7307692170143127,0.8557692170143127
18.266663,7.599991,19.465164,45.532207,42.477146,12.016663,61.98478,278.90894,0.0,1.291626,8.750839,29.591599,106.44752,137.41385,195.05751,0.6073,0.35369998,0.039,25.410301,31.534315,0,0.7307692170143127,0.8557692170143127
12.016663,7.699997,7.600647,34.77621,40.78773,8.833328,13.954889,293.69318,0.0,0.0,0.0,18.325687,93.755104,121.66003,181.52551,0.5984,0.36479998,0.0368,25.623869,31.566605,0,0.7307692170143127,0.8557692170143127
8.833328,9.299995,11.964775,38.825024,41.74451,14.48333,17.389336,168.06699,0.0,0.0,1.5995102,22.531929,99.176,127.38653,186.07668,0.602,0.36229998,0.0357,25.762419,31.734964,0,0.7307692170143127,0.8557692170143127
14.48333,19.816666,21.369736,47.331173,41.497303,24.416664,12.4788885,93.84783,0.0,3.3308105,10.916885,32.060257,106.16923,135.10356,191.36238,0.59819996,0.36429998,0.037499998,25.460001,31.370058,0,0.7307692170143127,0.8557692170143127
24.416664,41.38333,34.48797,59.770515,42.31771,47.85,27.92483,24.912262,0.0,16.038963,23.751633,44.614403,118.87559,149.97937,207.71428,0.6005,0.3603,0.0392,25.05384,31.284174,0,0.7307692170143127,0.8557692170143127
47.85,43.491516,41.405174,66.3925,42.60131,74.36667,44.32294,10.72277,0.0,23.231636,30.69085,51.53161,125.294525,156.2197,216.73926,0.6073,0.3534,0.0393,24.857117,31.10475,0,0.7307692170143127,0.8557692170143127
74.36667,66.62069,96.36207,121.57404,43.032906,132.06667,27.035284,7.944944,55.265316,78.18568,85.64774,106.52194,180.87128,212.1739,272.89264,0.6009,0.3588,0.0403,25.211975,31.369455,0,0.7307692170143127,0.8557692170143127
132.06667,83.81481,127.367256,152.11064,42.53939,159.94916,20.370161,4.90063,86.556656,109.190865,116.65293,137.32336,211.22505,242.44254,303.48114,0.6083,0.352,0.039699998,24.74339,30.91352,0,0.7307692170143127,0.8557692170143127
159.94916,70.42373,137.06854,162.8298,42.754982,165.55,17.204144,1.6431286,95.537125,119.02962,126.70328,147.26825,223.24332,251.72961,306.29807,0.593,0.371,0.036,25.761257,31.703203,0,0.7307692170143127,0.8557692170143127
165.55,94.08333,160.20096,185.89055,43.352077,171.6,6.6428013,8.327822,120.203735,142.92229,149.48677,170.39545,246.32802,278.36743,337.06543,0.5984,0.3636,0.038,25.6896,31.688534,0,0.7307692170143127,0.8557692170143127
171.6,93.566666,161.99016,188.18675,43.6425,174.28334,7.0535617,7.977476,119.602844,143.81377,151.53731,172.68068,249.71558,277.13922,339.92233,0.5922,0.3687,0.0391,26.19661,32.322556,0,0.7307692170143127,0.8557692170143127
174.28334,83.549995,166.72034,192.62714,43.47326,177.63333,6.143551,8.440874,124.11242,148.5468,156.35507,177.35292,252.79015,283.5091,345.07086,0.5994,0.36159998,0.039,25.90679,31.955505,0,0.7307692170143127,0.8557692170143127
177.63333,103.50847,179.83398,206.08267,43.96261,175.7,2.3528671,17.29236,139.15097,161.79506,169.38113,190.5245,267.11133,299.96817,357.62585,0.6008,0.363,0.036199998,26.248703,32.09379,0,0.7307692170143127,0.8557692170143127
