idx,x_last_hour,x_start_hour,point_pred,pred_refined,target,ci_lower,ci_upper,error_rate_refined_pct
0,58.0615,47.159092,46.86866,46.86866,42.43316,46.86866,46.86866,10.452912
1,42.43316,32.439842,31.142555,31.142555,27.47995,31.142555,31.142555,13.328282
2,27.47995,17.219254,16.672493,16.672493,12.787437,16.672493,16.672493,30.381813
3,12.787437,9.284763,10.096672,10.096672,9.030754,10.096672,10.096672,11.8032
4,9.030754,6.3369026,5.250431,5.250431,8.790112,5.250431,5.250431,40.26889
5,8.790112,3.8703232,3.8967056,7.4363847,7.5869026,2.8307867,7.436387,1.9839182
6,7.5869026,4.9465256,8.441372,12.131567,8.19519,11.981051,12.13157,48.03277
7,8.19519,14.324871,17.612587,17.366407,15.621662,17.366404,21.302786,11.168756
8,15.621662,32.88102,34.274643,32.28372,34.124336,32.28372,34.02846,5.3938575
9,34.124336,53.26747,53.880836,53.73053,55.48797,51.88991,53.73053,3.167243
10,55.48797,69.61899,66.41783,68.02496,65.82888,66.267525,68.02496,3.3360481
11,65.82888,67.51106,75.22587,74.63692,69.45539,74.63692,76.833,7.460222
12,69.45539,65.167114,69.970695,64.20022,69.24465,64.20022,69.381744,7.284943
13,69.24465,60.13369,66.19873,65.47269,61.243317,60.428253,65.47269,6.9058475
14,61.243317,57.07888,65.27802,60.32261,60.661766,60.32261,64.55198,0.5590953
15,60.661766,65.033424,66.81761,62.201355,68.84566,61.862198,62.201355,9.651011
16,68.84566,66.45722,67.152115,69.18016,66.50401,62.53586,69.18016,4.0240393
17,66.50401,64.47539,66.96894,66.32084,68.12166,66.32084,68.99699,2.6435344
18,68.12166,62.707222,69.00752,70.16024,66.90255,68.35942,70.16024,4.869307
19,66.90255,71.723465,77.43185,75.32687,65.167114,75.32687,78.584564,15.590316
20,65.167114,85.49465,86.308685,74.04395,80.2607,74.04395,84.20371,7.7456884
21,80.2607,84.1377,89.39345,83.34546,74.37166,77.128716,83.34546,12.066156
22,74.37166,73.99065,79.77303,73.725044,71.25668,64.75124,73.725044,3.4640412
23,71.25668,58.0615,60.310635,45.28885,53.0615,45.288845,51.794285,14.648382
24,53.0615,42.43316,44.567955,37.318817,42.5869,36.051605,37.31882,12.3701935
25,42.5869,27.47995,29.585749,22.336617,24.318184,22.336613,27.604694,8.1485
26,24.318184,12.787437,15.9250145,10.657452,14.692516,10.657449,13.943959,27.4634
27,14.692516,9.030754,10.251537,4.983974,9.151073,4.983971,9.01904,45.536728
28,9.151073,8.790112,6.6630745,5.4305787,6.4037476,5.430575,5.562612,15.196864
29,6.4037476,7.5869026,5.6910057,4.590543,3.7433205,4.5905404,5.43168,22.632908
30,3.7433205,8.19519,8.818871,6.871187,9.137703,6.871184,8.559545,24.803999
31,9.137703,15.621662,19.175835,17.228151,15.6283455,17.228148,19.494667,10.236566
32,15.6283455,34.124336,40.33947,36.79198,35.24733,36.79198,40.658302,4.382321
33,35.24733,55.48797,59.51164,54.4195,55.307487,54.4195,55.96415,1.6055495
34,55.307487,65.82888,71.00635,66.80219,80.92246,65.91421,66.8022,17.449135
35,80.92246,69.45539,80.94667,90.862785,77.59358,76.74252,90.86279,17.100903
36,77.59358,69.24465,74.80041,84.71652,74.71449,71.44732,84.71652,13.387001
37,74.71449,61.243317,70.237915,70.152,75.34091,66.88483,70.152,6.887243
38,75.34091,60.661766,69.846725,74.94972,64.745995,69.76081,74.94972,15.759627
39,64.745995,68.84566,71.011246,76.11424,71.62433,65.910515,76.11424,6.2686996
40,71.62433,66.50401,71.00793,71.62101,76.017,65.907196,71.62101,5.782902
41,76.017,68.12166,72.18447,77.19354,68.937164,72.797554,77.19354,11.976672
42,68.937164,66.90255,76.85868,73.611374,76.283424,73.611374,81.86775,3.5027928
43,76.283424,65.167114,83.127174,82.55192,84.86631,79.87987,82.55192,2.7271035
44,84.86631,80.2607,89.1675,88.59225,87.600266,88.59225,90.90664,1.1323956
45,87.600266,74.37166,88.731316,87.16408,88.59626,87.16408,90.47045,1.6165267
46,88.59626,71.25668,81.960495,81.82544,85.18048,80.39326,81.82544,3.9387445
47,85.18048,53.0615,64.136116,67.3561,63.34893,64.00106,67.3561,6.325556
48,63.34893,42.5869,46.934822,46.147636,43.796795,46.147636,50.154808,5.367611
49,43.796795,24.318184,31.062916,27.92489,30.006687,27.924887,30.275732,6.9377756
50,30.006687,14.692516,18.917072,17.860842,16.711231,15.779044,17.860846,6.8792686
51,16.711231,9.151073,10.45623,8.25039,9.177811,8.250387,9.4000025,10.105031
52,9.177811,6.4037476,6.4290924,5.1506715,5.5213966,4.2232504,5.150674,6.7143364
53,5.5213966,3.7433205,5.881054,4.9733567,4.271393,4.602633,4.9733596,16.434074
54,4.271393,9.137703,9.886429,8.276771,8.4492,8.276767,8.978735,2.040774
55,8.4492,15.6283455,20.672562,19.23533,16.844921,19.062899,19.235334,14.190684
56,16.844921,35.24733,41.652676,40.215446,37.627007,37.825035,40.215446,6.8792076
57,37.627007,55.307487,64.48989,60.464226,63.576206,60.464222,60.66225,4.894882
58,63.576206,80.92246,80.98911,80.075424,75.23511,76.96344,80.075424,6.433588
59,75.23511,77.59358,85.50059,79.74658,72.71594,79.74658,84.58691,9.668635
60,72.71594,74.71449,78.17369,65.389046,73.963905,65.389046,72.419685,11.593303
61,73.963905,75.34091,76.355995,72.14621,66.704544,63.57135,72.14621,8.157864
62,66.704544,64.745995,74.77688,70.56709,66.25668,65.12543,70.56709,6.505622
