hour,hour_invocation,hour_of_day,day_of_week
20160,163.0,0,0
20161,174.0,1,0
20162,186.0,2,0
20163,150.0,3,0
20164,133.0,4,0
20165,160.0,5,0
20166,116.0,6,0
20167,110.0,7,0
20168,158.0,8,0
20169,150.0,9,0
20170,146.0,10,0
20171,151.0,11,0
20172,150.0,12,0
20173,125.0,13,0
20174,122.0,14,0
20175,133.0,15,0
20176,114.0,16,0
20177,105.0,17,0
20178,84.0,18,0
20179,104.0,19,0
20180,99.0,20,0
20181,111.0,21,0
20182,104.0,22,0
20183,131.0,23,0
20184,100.0,0,1
20185,112.0,1,1
20186,122.0,2,1
20187,122.0,3,1
20188,108.0,4,1
20189,120.0,5,1
20190,120.0,6,1
20191,99.0,7,1
20192,112.0,8,1
20193,127.0,9,1
20194,109.0,10,1
20195,100.0,11,1
20196,101.0,12,1
20197,113.0,13,1
20198,92.0,14,1
20199,116.0,15,1
20200,107.0,16,1
20201,90.0,17,1
20202,112.0,18,1
20203,89.0,19,1
20204,108.0,20,1
20205,83.0,21,1
20206,102.0,22,1
20207,93.0,23,1
20208,94.0,0,2
20209,134.0,1,2
20210,108.0,2,2
20211,89.0,3,2
20212,86.0,4,2
20213,91.0,5,2
20214,103.0,6,2
20215,87.0,7,2
20216,94.0,8,2
20217,106.0,9,2
20218,91.0,10,2
20219,72.0,11,2
20220,80.0,12,2
20221,113.0,13,2
20222,100.0,14,2
20223,108.0,15,2
20224,99.0,16,2
20225,140.0,17,2
20226,109.0,18,2
20227,111.0,19,2
20228,89.0,20,2
20229,104.0,21,2
20230,83.0,22,2
20231,113.0,23,2
20232,94.0,0,3
20233,75.0,1,3
20234,67.0,2,3
20235,78.0,3,3
20236,136.0,4,3
20237,113.0,5,3
20238,81.0,6,3
20239,78.0,7,3
20240,65.0,8,3
20241,71.0,9,3
20242,59.0,10,3
20243,70.0,11,3
20244,54.0,12,3
20245,92.0,13,3
20246,69.0,14,3
20247,82.0,15,3
20248,104.0,16,3
20249,97.0,17,3
20250,104.0,18,3
20251,102.0,19,3
20252,76.0,20,3
20253,67.0,21,3
20254,70.0,22,3
20255,71.0,23,3
20256,67.0,0,4
20257,69.0,1,4
20258,59.0,2,4
20259,67.0,3,4
20260,78.0,4,4
20261,62.0,5,4
20262,60.0,6,4
20263,72.0,7,4
20264,70.0,8,4
20265,61.0,9,4
20266,86.0,10,4
20267,52.0,11,4
20268,65.0,12,4
20269,99.0,13,4
20270,64.0,14,4
20271,82.0,15,4
20272,77.0,16,4
20273,67.0,17,4
20274,75.0,18,4
20275,61.0,19,4
20276,71.0,20,4
20277,97.0,21,4
20278,94.0,22,4
20279,63.0,23,4
20280,94.0,0,5
20281,67.0,1,5
20282,69.0,2,5
20283,62.0,3,5
20284,43.0,4,5
20285,52.0,5,5
20286,36.0,6,5
20287,55.0,7,5
20288,55.0,8,5
20289,56.0,9,5
20290,71.0,10,5
20291,44.0,11,5
20292,55.0,12,5
20293,51.0,13,5
20294,37.0,14,5
20295,57.0,15,5
20296,65.0,16,5
20297,62.0,17,5
20298,42.0,18,5
20299,56.0,19,5
20300,41.0,20,5
20301,47.0,21,5
20302,41.0,22,5
20303,56.0,23,5
20304,36.0,0,6
20305,43.0,1,6
20306,25.0,2,6
20307,28.0,3,6
20308,41.0,4,6
20309,49.0,5,6
20310,49.0,6,6
20311,38.0,7,6
20312,48.0,8,6
20313,34.0,9,6
20314,38.0,10,6
20315,44.0,11,6
20316,46.0,12,6
20317,43.0,13,6
20318,40.0,14,6
20319,35.0,15,6
20320,27.0,16,6
20321,29.0,17,6
20322,39.0,18,6
20323,34.0,19,6
20324,33.0,20,6
20325,30.0,21,6
20326,37.0,22,6
20327,54.0,23,6
20328,30.0,0,0
20329,47.0,1,0
20330,26.0,2,0
20331,38.0,3,0
20332,37.0,4,0
20333,35.0,5,0
20334,22.0,6,0
20335,27.0,7,0
20336,45.0,8,0
20337,38.0,9,0
20338,45.0,10,0
20339,32.0,11,0
20340,28.0,12,0
20341,30.0,13,0
20342,24.0,14,0
20343,32.0,15,0
20344,27.0,16,0
20345,42.0,17,0
20346,30.0,18,0
20347,26.0,19,0
20348,34.0,20,0
20349,42.0,21,0
20350,40.0,22,0
20351,28.0,23,0
20352,30.0,0,1
20353,33.0,1,1
20354,20.0,2,1
20355,23.0,3,1
20356,19.0,4,1
20357,20.0,5,1
20358,41.0,6,1
20359,24.0,7,1
20360,22.0,8,1
20361,23.0,9,1
20362,16.0,10,1
20363,10.0,11,1
20364,20.0,12,1
20365,19.0,13,1
20366,10.0,14,1
20367,22.0,15,1
20368,13.0,16,1
20369,10.0,17,1
20370,22.0,18,1
20371,19.0,19,1
20372,28.0,20,1
20373,16.0,21,1
20374,28.0,22,1
20375,19.0,23,1
20376,37.0,0,2
20377,26.0,1,2
20378,14.0,2,2
20379,10.0,3,2
20380,29.0,4,2
20381,17.0,5,2
20382,37.0,6,2
20383,30.0,7,2
20384,28.0,8,2
20385,20.0,9,2
20386,18.0,10,2
20387,32.0,11,2
20388,21.0,12,2
20389,13.0,13,2
20390,21.0,14,2
20391,18.0,15,2
20392,16.0,16,2
20393,24.0,17,2
20394,22.0,18,2
20395,13.0,19,2
20396,21.0,20,2
20397,16.0,21,2
20398,12.0,22,2
20399,14.0,23,2
20400,14.0,0,3
20401,17.0,1,3
20402,14.0,2,3
20403,12.0,3,3
20404,20.0,4,3
20405,20.0,5,3
20406,16.0,6,3
20407,20.0,7,3
20408,10.0,8,3
20409,7.0,9,3
20410,15.0,10,3
20411,9.0,11,3
20412,18.0,12,3
20413,14.0,13,3
20414,14.0,14,3
20415,10.0,15,3
20416,21.0,16,3
20417,10.0,17,3
20418,8.0,18,3
20419,16.0,19,3
20420,8.0,20,3
20421,12.0,21,3
20422,10.0,22,3
20423,23.0,23,3
20424,18.0,0,4
20425,20.0,1,4
20426,7.0,2,4
20427,25.0,3,4
20428,13.0,4,4
20429,15.0,5,4
20430,7.0,6,4
20431,28.0,7,4
20432,33.0,8,4
20433,25.0,9,4
20434,19.0,10,4
20435,16.0,11,4
20436,14.0,12,4
20437,19.0,13,4
20438,3.0,14,4
