x_last_hour,x_start_hour,predicted,target,error_rates
136.0,138.0,136.2788,133.0,2.4652581
184.0,205.0,184.27875,149.0,23.677011
178.0,207.0,178.27536,181.0,1.5053259
204.0,154.0,204.25279,231.0,11.578878
208.0,218.0,208.2788,173.0,20.392366
210.0,136.0,210.2788,204.0,3.0778399
35.000008,63.0,35.2788,23.0,53.386093
191.0,175.0,191.26942,170.0,12.511426
204.0,261.0,204.27751,251.0,18.614536
204.0,203.0,203.8061,257.0,20.698013
71.0,106.0,71.257515,97.0,26.538643
100.0,247.0,100.27639,144.0,30.363619
149.0,175.0,149.27505,106.0,40.825523
201.0,172.0,201.26636,257.0,21.686243
155.0,175.0,155.26633,243.0,36.104393
151.0,273.0,151.2788,173.0,12.555611
170.0,181.0,170.2788,202.0,15.7035675
158.0,165.0,158.2788,134.0,18.118502
131.0,142.0,131.2788,143.0,8.196649
99.0,52.000008,99.21403,99.0,0.21618931
186.0,156.0,186.2788,212.0,12.132645
59.000008,39.000008,59.2788,33.000008,79.63269
170.0,131.0,170.2788,154.0,10.570645
200.0,161.0,200.26689,175.0,14.438224
33.0,80.0,33.278793,37.0,10.057315
16.0,26.0,16.278801,12.0,35.656677
197.0,188.0,197.4593,167.0,18.239105
214.0,218.0,214.2788,216.0,0.796855
19.0,46.000008,19.278793,37.0,47.895153
174.0,158.0,174.2788,186.0,6.301724
177.0,181.0,177.2788,159.0,11.496096
187.0,80.0,187.24881,166.0,12.8004875
94.0,134.0,94.27879,94.0,0.29658866
161.0,165.0,160.9224,147.0,9.471016
47.0,64.0,47.278793,26.0,81.84151
156.0,196.0,156.27582,185.0,15.526586
245.0,129.0,245.2788,259.0,5.2977633
250.0,180.0,250.27878,203.0,23.29004
196.0,156.0,197.1066,200.0,1.446701
180.0,154.0,180.24875,182.0,0.9622259
19.0,62.0,19.278793,20.000008,3.6060703
143.0,80.0,143.2788,110.0,30.253448
43.0,60.0,43.278793,70.0,38.17315
22.000008,38.000008,22.278801,19.000008,17.256802
