,price_first__price_cost,price_first__energy_cost,energy_first__price_cost,energy_first__energy_cost
n,14.0,14.0,13.0,13.0
mean,7155.200513137874,398.22043919578584,7491.833716523635,393.73890474359473
std,238.50464951221096,7.832474015797649,319.52529272393025,9.725596259018358
p50,7167.918998448383,396.12989900125206,7624.263681794149,390.361623889338
p75,7246.700355988111,400.92833809838424,7767.292470444826,394.7963706245306
p90,7435.2479424289995,409.0024501088395,7805.993552646654,406.86072878199195
p95,7467.470338239269,412.9971619998962,7823.538506977286,411.8383726198069
p99,7512.014651172332,415.2953914429093,7835.341737831383,416.1231316140012
ci90_low,7050.343197811667,394.77693317047977,7346.053205757435,389.30168984251793
ci90_high,7260.057828464081,401.6639452210919,7637.614227289836,398.17611964467153
min,6587.066603917587,389.4915231745919,6854.930743595673,383.52082893899694
max,7523.150729405598,415.86994880366257,7838.292545544908,417.1943213625498
