,price_first__price_cost,price_first__energy_cost,energy_first__price_cost,energy_first__energy_cost
n,5.0,5.0,5.0,5.0
mean,7225.789246247326,398.6000530175294,7482.819771135777,391.02183144490715
std,383.5614926027059,8.359904254891223,309.877866673517,7.033800665685842
p50,7430.019766747348,397.5718188199386,7368.336409350507,388.80435091571366
p75,7437.488589149708,401.0408184783474,7775.157838171123,394.7963706245306
p90,7488.885873303242,407.28649347005984,7813.038662595394,398.6581582966402
p95,7506.01830135442,409.36838513396395,7825.665604070151,399.94542085401
p99,7519.724243795363,411.0338984650873,7835.767157249957,400.9752308999059
ci90_low,6943.615957384729,392.44995264595093,7254.853047490863,385.84730087987907
ci90_high,7507.962535109924,404.7501533891078,7710.786494780691,396.1963620099352
min,6587.066603917587,389.781065783341,7124.098468262838,383.52082893899694
max,7523.150729405598,411.4502767978681,7838.292545544908,401.23268341137987
