hostname,timestamp,rps,sample_index,elapsed_s,dt_s,input_size,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
intel-manager,2025-12-20T05:53:37,30,0,1.004373,1.004373,940930,119.6709999755479,123.15927814180738,242.83027811735528
intel-manager,2025-12-20T05:53:38,30,1,2.005893,1.00152,940930,129.20355752112386,145.6311760474723,274.83473356859616
intel-manager,2025-12-20T05:53:39,30,2,3.007519,1.001626,940930,116.04730870122265,124.09170048392275,240.1390091851454
intel-manager,2025-12-20T05:53:40,30,3,4.009272,1.001753,940930,123.04819022521828,136.67715639621608,259.72534662143437
intel-manager,2025-12-20T05:53:41,30,4,5.011151,1.001878,940930,119.92590119643243,127.84021216340174,247.76611335983418
intel-manager,2025-12-20T05:53:42,30,5,6.012703,1.001552,940930,119.7323413866792,136.70748123528278,256.439822621962
intel-manager,2025-12-20T05:53:43,30,6,7.014235,1.001533,940930,119.88222236333706,134.76135473272498,254.64357709606205
intel-manager,2025-12-20T05:53:44,30,7,8.016248,1.002013,940930,125.44692534563322,134.8444883514292,260.2914136970624
intel-manager,2025-12-20T05:53:45,30,8,9.018264,1.002016,940930,126.1393216864179,140.1711808565678,266.31050254298566
intel-manager,2025-12-20T05:53:46,30,9,10.020252,1.001987,940930,122.34609652991846,131.77600224346654,254.122098773385
intel-manager,2025-12-20T05:53:47,30,10,11.02221,1.001958,940930,117.0625291402538,127.57292739530334,244.63545653555713
intel-manager,2025-12-20T05:53:48,30,11,12.02419,1.00198,940930,129.28472185534227,120.34919292544014,249.6339147807824
intel-manager,2025-12-20T05:53:49,30,12,13.026146,1.001956,940930,118.87554144460151,129.64820782812927,248.52374927273078
intel-manager,2025-12-20T05:53:50,30,13,14.027639,1.001493,940930,126.61645733563873,126.97627005768317,253.5927273933219
intel-manager,2025-12-20T05:53:51,30,14,15.029402,1.001764,940930,118.83388367447564,115.74223704752718,234.57612072200283
intel-manager,2025-12-20T05:53:52,30,15,16.0314,1.001998,940930,122.91624407924176,132.84675779988353,255.76300187912528
intel-manager,2025-12-20T05:53:53,30,16,17.033535,1.002135,940930,120.36581336931557,134.68164751403424,255.0474608833498
intel-manager,2025-12-20T05:53:54,30,17,18.035583,1.002048,940930,116.33466006566235,130.8513990966855,247.18605916234785
intel-manager,2025-12-20T05:53:55,30,18,19.037589,1.002006,940930,109.01134934515552,127.0657874732065,236.07713681836202
intel-manager,2025-12-20T05:53:56,30,19,20.039567,1.001977,940930,122.52863252814188,124.06191155519704,246.59054408333893
intel-manager,2025-12-20T05:53:57,30,20,21.041743,1.002176,940930,125.83733013632009,123.23947357329038,249.0768037096105
intel-manager,2025-12-20T05:53:58,30,21,22.043706,1.001963,940930,124.12892372090961,124.95597211030858,249.0848958312182
intel-manager,2025-12-20T05:53:59,30,22,23.045209,1.001503,940930,109.47544621801501,126.84997617585636,236.32542239387135
intel-manager,2025-12-20T05:54:00,30,23,24.046747,1.001538,940930,114.23788476320281,127.2932710796302,241.53115584283302
intel-manager,2025-12-20T05:54:01,30,24,25.048217,1.00147,940930,121.880144345508,125.67186318151255,247.55200752702055
intel-manager,2025-12-20T05:54:02,30,25,26.050229,1.002012,940930,120.98548031792197,123.52376386008564,244.5092441780076
intel-manager,2025-12-20T05:54:03,30,26,27.052756,1.002527,940930,112.92247791108899,129.1319104283692,242.05438833945817
intel-manager,2025-12-20T05:54:04,30,27,28.054795,1.00204,940930,126.2310372211221,129.66092138604887,255.89195860717098
intel-manager,2025-12-20T05:54:05,30,28,29.05681,1.002015,940930,116.08127037845375,134.11514367018577,250.19641404863953
intel-manager,2025-12-20T05:54:06,30,29,30.058844,1.002034,940930,124.0200164867455,133.84649724140908,257.8665137281546
intel-manager,2025-12-20T05:54:07,30,30,31.060889,1.002044,940930,132.77922593018738,127.09968939796934,259.8789153281567
intel-manager,2025-12-20T05:54:08,30,31,32.062862,1.001973,940930,120.11294225131842,125.11490043416272,245.22784268548114
intel-manager,2025-12-20T05:54:09,30,32,33.063762,1.0009,940930,119.12157539308225,120.7855391722555,239.90711456533774
intel-manager,2025-12-20T05:54:10,30,33,34.06578,1.002018,940930,125.44340527066288,120.24078079562345,245.68418606628632
intel-manager,2025-12-20T05:54:11,30,34,35.067827,1.002048,940930,125.37334222266382,136.02935362631638,261.4026958489802
intel-manager,2025-12-20T05:54:12,30,35,36.069835,1.002008,940930,112.47128782494595,125.58670669872522,238.05799452367117
intel-manager,2025-12-20T05:54:13,30,36,37.071756,1.001921,940930,114.33064911387316,128.32333036995976,242.65397948383293
intel-manager,2025-12-20T05:54:14,30,37,38.073746,1.001991,940930,125.16891916720225,127.9356208905032,253.10454005770544
intel-manager,2025-12-20T05:54:15,30,38,39.075742,1.001995,940930,117.26851818357697,132.2727209214212,249.54123910499817
intel-manager,2025-12-20T05:54:16,30,39,40.076591,1.000849,940930,129.9640334231082,126.31827370431779,256.28230712742595
intel-manager,2025-12-20T05:54:17,30,40,41.078636,1.002046,940930,131.90089094702137,128.54192695011355,260.4428178971349
intel-manager,2025-12-20T05:54:18,30,41,42.080622,1.001986,940930,109.6262624456925,121.20644764887916,230.83271009457167
intel-manager,2025-12-20T05:54:19,30,42,43.082118,1.001496,940930,115.980478625545,120.93405505788752,236.91453368343252
intel-manager,2025-12-20T05:54:20,30,43,44.083764,1.001646,940930,123.94660070557991,128.90674609858118,252.8533468041611
intel-manager,2025-12-20T05:54:21,30,44,45.08579,1.002027,940930,113.31237291297143,130.26107538570156,243.573448298673
intel-manager,2025-12-20T05:54:22,30,45,46.087762,1.001971,940930,116.67071445940819,133.00346760450503,249.67418206391324
intel-manager,2025-12-20T05:54:23,30,46,47.08978,1.002018,940930,121.28923237905686,130.53209152173235,251.8213239007892
intel-manager,2025-12-20T05:54:24,30,47,48.091781,1.002002,940930,114.90384979499845,137.94970047785282,252.85355027285127
intel-manager,2025-12-20T05:54:25,30,48,49.093151,1.00137,940930,111.56684365048987,128.84001022144022,240.40685387193008
intel-manager,2025-12-20T05:54:26,30,49,50.095124,1.001973,940930,122.91297959821043,120.76877741294986,243.6817570111603
intel-manager,2025-12-20T05:54:27,30,50,51.0966,1.001476,940930,114.27164839929009,131.465403566892,245.7370519661821
intel-manager,2025-12-20T05:54:28,30,51,52.098288,1.001688,940930,117.49329291820716,134.4667367317476,251.96002964995478
intel-manager,2025-12-20T05:54:29,30,52,53.099757,1.001469,940930,124.54403427117603,131.963168790015,256.50720306119103
intel-manager,2025-12-20T05:54:30,30,53,54.10098,1.001223,940930,106.99468167204476,126.20813552128966,233.20281719333443
intel-manager,2025-12-20T05:54:31,30,54,55.103065,1.002085,940930,117.4682531538992,128.74488202709176,246.21313518099095
intel-manager,2025-12-20T05:54:32,30,55,56.105068,1.002003,940930,127.06356217419919,124.63605793346287,251.69962010766204
intel-manager,2025-12-20T05:54:33,30,56,57.107028,1.00196,940930,124.73758020048523,120.08527079979936,244.82285100028457
intel-manager,2025-12-20T05:54:34,30,57,58.109009,1.00198,940930,120.32293791835455,121.9684802431251,242.29141816147967
intel-manager,2025-12-20T05:54:35,30,58,59.1114,1.002391,940930,133.49436363647882,118.75900435302722,252.25336798950605
intel-manager,2025-12-20T05:54:36,30,59,60.11312,1.00172,940930,116.79454702850542,120.66062955356612,237.45517658207154
