hostname,timestamp,rps,sample_index,elapsed_s,dt_s,input_size,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
intel-manager,2025-12-21T17:44:02,125,0,1.007641,1.007641,940930,169.07316057474262,188.81551612885917,357.8886767036018
intel-manager,2025-12-21T17:44:03,125,1,2.008912,1.001271,940930,182.7330355858221,212.4644576675373,395.1974932533594
intel-manager,2025-12-21T17:44:04,125,2,3.010381,1.00147,940930,181.79311628982384,215.96167761150863,397.7547939013325
intel-manager,2025-12-21T17:44:05,125,3,4.011981,1.001599,940930,173.0956273848557,214.01903585053026,387.11466323538593
intel-manager,2025-12-21T17:44:06,125,4,5.012895,1.000915,940930,174.96928969468573,215.9217216786939,390.8910113733796
intel-manager,2025-12-21T17:44:07,125,5,6.014357,1.001462,940930,152.0646234022219,213.16503322591686,365.22965662813874
intel-manager,2025-12-21T17:44:08,125,6,7.015834,1.001477,940930,177.00518000218068,202.4152832592021,379.4204632613828
intel-manager,2025-12-21T17:44:09,125,7,8.016911,1.001077,940930,177.22671404356223,197.1355195198576,374.36223356341986
intel-manager,2025-12-21T17:44:10,125,8,9.018593,1.001682,940930,170.06429797869643,214.2607690732677,384.32506705196414
intel-manager,2025-12-21T17:44:11,125,9,10.020076,1.001483,940930,180.56660230826057,216.4838882819153,397.05049059017585
intel-manager,2025-12-21T17:44:12,125,10,11.020896,1.00082,940930,189.40769156264784,221.5723380776384,410.98002964028626
intel-manager,2025-12-21T17:44:13,125,11,12.022392,1.001497,940930,187.63302215879185,215.06175259841817,402.69477475721
intel-manager,2025-12-21T17:44:14,125,12,13.023854,1.001462,940930,188.83729917502427,219.70385052842062,408.5411497034449
intel-manager,2025-12-21T17:44:15,125,13,14.024917,1.001063,940930,173.49652601335822,202.5770403396809,376.07356635303915
intel-manager,2025-12-21T17:44:16,125,14,15.026478,1.001561,940930,179.36086688105433,224.99234250437732,404.3532093854317
intel-manager,2025-12-21T17:44:17,125,15,16.027974,1.001496,940930,180.4705851559318,215.9663922472573,396.4369774031891
intel-manager,2025-12-21T17:44:18,125,16,17.028903,1.000929,940930,180.79700938836993,208.48507992572246,389.2820893140924
intel-manager,2025-12-21T17:44:19,125,17,18.030501,1.001597,940930,182.57550007824034,221.85292813869447,404.4284282169348
intel-manager,2025-12-21T17:44:20,125,18,19.031976,1.001475,940930,174.26900063593166,214.7709397106099,389.0399403465416
intel-manager,2025-12-21T17:44:21,125,19,20.033524,1.001548,940930,181.12431498857885,214.99116527439216,396.115480262971
intel-manager,2025-12-21T17:44:22,125,20,21.035127,1.001603,940930,183.6085023395226,218.61589006765394,402.22439240717654
intel-manager,2025-12-21T17:44:23,125,21,22.036636,1.001509,940930,178.27771063689494,213.61553159001704,391.893242226912
intel-manager,2025-12-21T17:44:24,125,22,23.03837,1.001734,940930,171.10402689299045,213.2908780037981,384.39490489678855
intel-manager,2025-12-21T17:44:25,125,23,24.040899,1.002529,940930,188.3241050655141,214.22076784304065,402.54487290855474
intel-manager,2025-12-21T17:44:26,125,24,25.051712,1.010812,940930,184.94292088153986,222.0508801407209,406.99380102226075
intel-manager,2025-12-21T17:44:27,125,25,26.0529,1.001189,940930,179.5239839600923,225.89720555940838,405.4211895195007
intel-manager,2025-12-21T17:44:28,125,26,27.055344,1.002444,940930,185.4440426222653,220.9021604131368,406.34620303540214
intel-manager,2025-12-21T17:44:29,125,27,28.056898,1.001554,940930,183.80225885111125,214.25200083736013,398.05425968847135
intel-manager,2025-12-21T17:44:30,125,28,29.058383,1.001485,940930,178.8937955037526,219.0354222289033,397.9292177326559
intel-manager,2025-12-21T17:44:31,125,29,30.059855,1.001472,940930,162.29137039533748,204.6629826407544,366.9543530360919
intel-manager,2025-12-21T17:44:32,125,30,31.06091,1.001055,940930,172.26225779584544,196.0541639373611,368.31642173320654
intel-manager,2025-12-21T17:44:33,125,31,32.06276,1.001849,940930,187.95359500502516,217.2779551460379,405.23155015106306
intel-manager,2025-12-21T17:44:34,125,32,33.064401,1.001641,940930,177.67690296932938,211.24081740831437,388.9177203776437
intel-manager,2025-12-21T17:44:35,125,33,34.064898,1.000498,940930,170.67698692488977,212.33930667248245,383.0162935973722
intel-manager,2025-12-21T17:44:36,125,34,35.066441,1.001542,940930,163.9131928798916,215.72957728070173,379.64277016059333
intel-manager,2025-12-21T17:44:37,125,35,36.068055,1.001614,940930,181.647213055089,212.27109893005957,393.91831198514853
intel-manager,2025-12-21T17:44:38,125,36,37.068908,1.000853,940930,176.4918305043337,206.4740426798479,382.96587318418165
intel-manager,2025-12-21T17:44:39,125,37,38.070582,1.001674,940930,182.62755845938545,215.0932631796647,397.72082163905014
intel-manager,2025-12-21T17:44:40,125,38,39.072656,1.002073,940930,182.8589367673148,216.6402523722674,399.4991891395822
intel-manager,2025-12-21T17:44:41,125,39,40.074643,1.001987,940930,183.6402715894275,215.35767915901604,398.99795074844354
intel-manager,2025-12-21T17:44:42,125,40,41.076748,1.002105,940930,195.13147271145024,219.9230944064173,415.0545671178676
intel-manager,2025-12-21T17:44:43,125,41,42.078325,1.001577,940930,174.03826447079436,212.02417452745675,386.0624389982511
intel-manager,2025-12-21T17:44:44,125,42,43.07981,1.001485,940930,191.326818756534,212.20384209440851,403.5306608509425
intel-manager,2025-12-21T17:44:45,125,43,44.080906,1.001096,940930,182.54842006812734,203.65042006072352,386.19884012885086
intel-manager,2025-12-21T17:44:46,125,44,45.082599,1.001693,940930,187.37019797418532,210.25228844760625,397.62248642179156
intel-manager,2025-12-21T17:44:47,125,45,46.084217,1.001618,940930,176.68770034605961,221.19923913771163,397.88693948377124
intel-manager,2025-12-21T17:44:48,125,46,47.084911,1.000694,940930,187.69089442059803,211.36148281217018,399.0523772327682
intel-manager,2025-12-21T17:44:49,125,47,48.086727,1.001816,940930,188.4678887149305,223.35051330493903,411.8184020198695
intel-manager,2025-12-21T17:44:50,125,48,49.088476,1.001749,940930,169.0684434410422,203.07393441390352,372.1423778549457
intel-manager,2025-12-21T17:44:51,125,49,50.090565,1.002089,940930,158.26317875325992,204.3884948826331,362.651673635893
intel-manager,2025-12-21T17:44:52,125,50,51.092052,1.001487,940930,179.65696526280274,215.9391533935954,395.5961186563982
intel-manager,2025-12-21T17:44:53,125,51,52.092901,1.000849,940930,159.72644696099542,199.70376540675733,359.43021236775274
intel-manager,2025-12-21T17:44:54,125,52,53.094345,1.001444,940930,182.01981993528653,212.82218320141533,394.84200313670186
intel-manager,2025-12-21T17:44:55,125,53,54.0958,1.001454,940930,156.79835179453403,190.54203755270018,347.34038934723424
intel-manager,2025-12-21T17:44:56,125,54,55.096905,1.001106,940930,180.64371781967552,214.27502081685148,394.918738636527
intel-manager,2025-12-21T17:44:57,125,55,56.098459,1.001553,940930,181.52724255041758,214.4828126181063,396.0100551685239
intel-manager,2025-12-21T17:44:58,125,56,57.100255,1.001796,940930,177.9938069748222,209.07326921837415,387.0670761931964
intel-manager,2025-12-21T17:44:59,125,57,58.101725,1.00147,940930,182.51423983121128,215.48235177385388,397.9965916050652
intel-manager,2025-12-21T17:45:00,125,58,59.103183,1.001458,940930,181.86736154884395,201.41425820973816,383.2816197585821
intel-manager,2025-12-21T17:45:01,125,59,60.104629,1.001446,940930,175.02636935029662,203.3998180970634,378.42618744736
