hostname,timestamp,rps,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w,input_size
intel-manager,2025-12-19 02:59:00,10,0,1.004371,1.004371,99.94991696,116.9483322,216.8982491,563135
intel-manager,2025-12-19 02:59:00,10,1,2.006223,1.001852,98.67106868,112.565345,211.2364137,563135
intel-manager,2025-12-19 02:59:00,10,2,3.008002,1.001779,99.62777352,117.7082875,217.3360611,563135
intel-manager,2025-12-19 02:59:00,10,3,4.009883,1.001881,100.2793531,113.3997862,213.6791392,563135
intel-manager,2025-12-19 02:59:00,10,4,5.011324,1.001441,99.1013258,116.2575287,215.3588545,563135
intel-manager,2025-12-19 02:59:00,10,5,6.013355,1.002032,101.1599868,119.6361938,220.7961806,563135
intel-manager,2025-12-19 02:59:00,10,6,7.015377,1.002022,98.28427631,113.4932376,211.7775139,563135
intel-manager,2025-12-19 02:59:00,10,7,8.017232,1.001855,99.16420937,120.4120856,219.576295,563135
intel-manager,2025-12-19 02:59:00,10,8,9.019267,1.002035,94.31796214,114.3642758,208.682238,563135
intel-manager,2025-12-19 02:59:00,10,9,10.020692,1.001425,99.3536936,119.8662914,219.2199849,563135
intel-manager,2025-12-19 02:59:00,10,10,11.022196,1.001504,98.6767217,111.3007688,209.9774905,563135
intel-manager,2025-12-19 02:59:00,10,11,12.02421,1.002014,100.9551772,113.5523345,214.5075117,563135
intel-manager,2025-12-19 02:59:00,10,12,13.026256,1.002046,95.30545999,107.2184898,202.5239498,563135
intel-manager,2025-12-19 02:59:00,10,13,14.02832,1.002064,94.30965936,115.9924451,210.3021045,563135
intel-manager,2025-12-19 02:59:00,10,14,15.030359,1.002038,98.37577252,119.2217185,217.597491,563135
intel-manager,2025-12-19 03:00:00,10,15,16.032457,1.002099,100.303569,115.9342972,216.2378662,563135
intel-manager,2025-12-19 03:00:00,10,16,17.03452,1.002063,99.58389732,119.2309461,218.8148434,563135
