hostname,timestamp,rps,sample_index,elapsed_s,dt_s,input_size,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
intel-manager,2025-12-20T06:12:41,10,0,1.004448,1.004448,563135,108.49841574891568,104.32715924061924,212.8255749895349
intel-manager,2025-12-20T06:12:42,10,1,2.005882,1.001434,563135,105.25296301474245,102.05041075571641,207.30337377045885
intel-manager,2025-12-20T06:12:43,10,2,3.00736,1.001479,563135,103.84745866773193,100.99408087765426,204.84153954538618
intel-manager,2025-12-20T06:12:44,10,3,4.008845,1.001485,563135,103.64968530939731,99.68847425204099,203.33815956143832
intel-manager,2025-12-20T06:12:45,10,4,5.010337,1.001492,563135,103.7065496685392,99.0631608207414,202.7697104892806
intel-manager,2025-12-20T06:12:46,10,5,6.012099,1.001761,563135,105.4552123438272,102.1366637563115,207.5918761001387
intel-manager,2025-12-20T06:12:47,10,6,7.014054,1.001955,563135,104.83158585848818,100.91310960631853,205.7446954648067
intel-manager,2025-12-20T06:12:48,10,7,8.015476,1.001422,563135,94.66607518877824,93.49434302865794,188.1604182174362
intel-manager,2025-12-20T06:12:49,10,8,9.017509,1.002034,563135,106.3373362919991,103.24043323456095,209.57776952656005
intel-manager,2025-12-20T06:12:50,10,9,10.019104,1.001595,563135,103.79272798470457,102.92430272651792,206.7170307112225
intel-manager,2025-12-20T06:12:51,10,10,11.020685,1.001581,563135,104.59128615681692,101.27445749061793,205.86574364743484
intel-manager,2025-12-20T06:12:52,10,11,12.022275,1.001589,563135,98.0981138395142,96.74778491490869,194.84589875442288
intel-manager,2025-12-20T06:12:53,10,12,13.023767,1.001492,563135,104.20198718969891,96.48811446882773,200.69010165852666
intel-manager,2025-12-20T06:12:54,10,13,14.025587,1.001821,563135,105.69810680334511,96.04090835379087,201.73901515713598
intel-manager,2025-12-20T06:12:55,10,14,15.027026,1.001439,563135,103.4887086377209,97.97913212563081,201.46784076335172
intel-manager,2025-12-20T06:12:56,10,15,16.029014,1.001988,563135,106.00715703044062,102.75581670560393,208.76297373604456
intel-manager,2025-12-20T06:12:57,10,16,17.030503,1.001489,563135,105.27715920818369,98.78507397769911,204.0622331858828
intel-manager,2025-12-20T06:12:58,10,17,18.031975,1.001472,563135,106.2509809483892,102.58487743921717,208.83585838760638
intel-manager,2025-12-20T06:12:59,10,18,19.033483,1.001508,563135,105.28188318201678,98.7912600255933,204.0731432076101
intel-manager,2025-12-20T06:13:00,10,19,20.034925,1.001442,563135,105.47219064107422,97.91919951943848,203.39139016051269
intel-manager,2025-12-20T06:13:01,10,20,21.036403,1.001478,563135,106.64468718846271,98.55010170599228,205.19478889445497
intel-manager,2025-12-20T06:13:02,10,21,22.038211,1.001808,563135,106.86462843692084,98.17381979395067,205.0384482308715
intel-manager,2025-12-20T06:13:03,10,22,23.039683,1.001472,563135,102.22647026787034,98.04970843749668,200.27617870536702
intel-manager,2025-12-20T06:13:04,10,23,24.041477,1.001794,563135,103.85807924000333,96.1270365022927,199.98511574229605
intel-manager,2025-12-20T06:13:05,10,24,25.043461,1.001984,563135,105.15415467082407,98.96290038255233,204.11705505337642
intel-manager,2025-12-20T06:13:06,10,25,26.045334,1.001873,563135,104.27600419978397,103.1251474988243,207.40115169860826
intel-manager,2025-12-20T06:13:07,10,26,27.047305,1.001971,563135,97.63956235651479,96.2366288783989,193.87619123491368
intel-manager,2025-12-20T06:13:08,10,27,28.049313,1.002008,563135,103.19727925560714,96.8027277918856,200.00000704749274
intel-manager,2025-12-20T06:13:09,10,28,29.051304,1.001992,563135,104.36147503801713,106.57386104828825,210.93533608630537
intel-manager,2025-12-20T06:13:10,10,29,30.053259,1.001955,563135,105.04490290607262,101.31215676561439,206.357059671687
intel-manager,2025-12-20T06:13:11,10,30,31.055204,1.001945,563135,102.70312651868998,98.89408000194933,201.5972065206393
intel-manager,2025-12-20T06:13:12,10,31,32.056995,1.001791,563135,103.20168075197962,100.22051601910793,203.42219677108756
intel-manager,2025-12-20T06:13:13,10,32,33.058929,1.001934,563135,103.49420123332922,99.61718573232243,203.11138696565166
intel-manager,2025-12-20T06:13:14,10,33,34.060437,1.001508,563135,102.5113612409869,100.22270561928815,202.73406686027505
intel-manager,2025-12-20T06:13:15,10,34,35.062422,1.001984,563135,103.49117315403464,101.50878345193125,204.9999566059659
intel-manager,2025-12-20T06:13:16,10,35,36.064401,1.001979,563135,105.76724549224552,99.25933093970741,205.02657643195295
intel-manager,2025-12-20T06:13:17,10,36,37.066417,1.002016,563135,104.70599564461449,98.98847155913163,203.69446720374611
intel-manager,2025-12-20T06:13:18,10,37,38.068343,1.001926,563135,99.76671818732986,96.63366377265477,196.40038195998463
intel-manager,2025-12-20T06:13:19,10,38,39.070275,1.001931,563135,98.52734443859457,97.6244273587453,196.15177179733985
intel-manager,2025-12-20T06:13:20,10,39,40.071444,1.001169,563135,92.17413658915667,93.32945950470958,185.50359609386624
intel-manager,2025-12-20T06:13:21,10,40,41.073085,1.001641,563135,107.1358877929956,100.50871763167068,207.64460542466628
intel-manager,2025-12-20T06:13:22,10,41,42.074562,1.001477,563135,106.09569991296554,99.45604453848581,205.55174445145136
intel-manager,2025-12-20T06:13:23,10,42,43.076064,1.001503,563135,106.75714345669377,97.82582501605886,204.5829684727526
intel-manager,2025-12-20T06:13:24,10,43,44.078055,1.001991,563135,107.04757668294161,97.7013403530787,204.74891703602032
intel-manager,2025-12-20T06:13:25,10,44,45.080077,1.002021,563135,104.07598389057915,99.02833875985573,203.10432265043488
intel-manager,2025-12-20T06:13:26,10,45,46.082083,1.002006,563135,106.76717329300133,101.39630953532071,208.16348282832206
intel-manager,2025-12-20T06:13:27,10,46,47.084056,1.001973,563135,105.20641282238931,98.17940051154302,203.38581333393233
intel-manager,2025-12-20T06:13:28,10,47,48.08599,1.001935,563135,104.98532887441829,100.12931912072166,205.11464799513993
intel-manager,2025-12-20T06:13:29,10,48,49.087435,1.001444,563135,104.499312488895,100.537454757509,205.036767246404
intel-manager,2025-12-20T06:13:30,10,49,50.088899,1.001464,563135,103.85424527945462,100.62223013549323,204.47647541494786
intel-manager,2025-12-20T06:13:31,10,50,51.090405,1.001506,563135,104.19001759845281,100.75635582133123,204.94637341978404
intel-manager,2025-12-20T06:13:32,10,51,52.092402,1.001996,563135,105.12787844887247,100.82989043107524,205.9577688799477
intel-manager,2025-12-20T06:13:33,10,52,53.094428,1.002026,563135,101.5407983183634,99.79769157836975,201.33848989673317
intel-manager,2025-12-20T06:13:34,10,53,54.096415,1.001987,563135,100.26432574608995,100.97756655056372,201.24189229665367
intel-manager,2025-12-20T06:13:35,10,54,55.0984,1.001986,563135,102.72308219167797,100.84808708806862,203.57116927974658
intel-manager,2025-12-20T06:13:36,10,55,56.100348,1.001948,563135,104.89440830185268,101.28627251663282,206.18068081848548
intel-manager,2025-12-20T06:13:37,10,56,57.10225,1.001902,563135,107.60537610079098,105.25609012557513,212.8614662263661
intel-manager,2025-12-20T06:13:38,10,57,58.103677,1.001427,563135,104.62537642336123,104.20605386944617,208.8314302928074
intel-manager,2025-12-20T06:13:39,10,58,59.105081,1.001404,563135,102.93622723959285,101.674390616688,204.61061785628084
intel-manager,2025-12-20T06:13:40,10,59,60.106569,1.001488,563135,102.86391407022329,102.73891803082267,205.60283210104598
intel-manager,2025-12-20T06:05:52,20,0,1.004539,1.004539,563135,105.3665975322759,112.81427764045795,218.18087517273386
intel-manager,2025-12-20T06:05:53,20,1,2.006152,1.001613,563135,101.64142959987126,116.66172392292627,218.30315352279752
intel-manager,2025-12-20T06:05:54,20,2,3.00775,1.001598,563135,102.12142339019587,108.52048040523607,210.64190379543194
intel-manager,2025-12-20T06:05:55,20,3,4.009549,1.001799,563135,102.58397649105608,109.92938531757203,212.5133618086281
intel-manager,2025-12-20T06:05:56,20,4,5.011482,1.001933,563135,101.9941865756129,111.89104833312878,213.88523490874167
intel-manager,2025-12-20T06:05:57,20,5,6.013417,1.001935,563135,104.31982073388649,109.15590772745139,213.4757284613379
intel-manager,2025-12-20T06:05:58,20,6,7.014866,1.001449,563135,104.01498384102585,118.44685693730736,222.46184077833323
intel-manager,2025-12-20T06:05:59,20,7,8.016499,1.001633,563135,106.47987033475009,106.28231687838765,212.76218721313774
intel-manager,2025-12-20T06:06:00,20,8,9.01847,1.001971,563135,106.64929712633501,102.75878328156757,209.4080804079026
intel-manager,2025-12-20T06:06:01,20,9,10.020434,1.001964,563135,108.73555633599665,117.02491726639734,225.76047360239397
intel-manager,2025-12-20T06:06:02,20,10,11.022398,1.001964,563135,102.56473285593644,113.57518693345955,216.139919789396
intel-manager,2025-12-20T06:06:03,20,11,12.024464,1.002066,563135,105.50594758068594,117.59507668528224,223.1010242659682
intel-manager,2025-12-20T06:06:04,20,12,13.02646,1.001996,563135,107.10170620850768,111.51244824106551,218.6141544495732
intel-manager,2025-12-20T06:06:05,20,13,14.028451,1.001991,563135,107.3813221844496,109.6996373411836,217.0809595256332
intel-manager,2025-12-20T06:06:06,20,14,15.029815,1.001364,563135,107.16172419144361,108.3495540002662,215.5112781917098
intel-manager,2025-12-20T06:06:07,20,15,16.03131,1.001495,563135,102.69345115254819,101.22604375710557,203.91949490965376
intel-manager,2025-12-20T06:06:08,20,16,17.03302,1.00171,563135,105.77875288563162,110.90145039025333,216.68020327588494
intel-manager,2025-12-20T06:06:09,20,17,18.035018,1.001998,563135,105.79495875926206,116.52056644176986,222.3155252010319
intel-manager,2025-12-20T06:06:10,20,18,19.036997,1.001979,563135,107.05594175819753,110.23866155608285,217.29460331428038
intel-manager,2025-12-20T06:06:11,20,19,20.038981,1.001984,563135,108.03631628942944,113.19348961214592,221.22980590157536
intel-manager,2025-12-20T06:06:12,20,20,21.040957,1.001975,563135,99.95263676371685,112.01173245698212,211.96436922069898
intel-manager,2025-12-20T06:06:13,20,21,22.042954,1.001998,563135,97.49029573206259,115.58989399674826,213.08018972881086
intel-manager,2025-12-20T06:06:14,20,22,23.044925,1.00197,563135,97.16895586739535,109.7823777540361,206.95133362143144
intel-manager,2025-12-20T06:06:15,20,23,24.045813,1.000888,563135,98.42293422006799,109.12683743306266,207.54977165313065
intel-manager,2025-12-20T06:06:16,20,24,25.047189,1.001376,563135,105.2798978539474,115.04067154533394,220.32056939928134
intel-manager,2025-12-20T06:06:17,20,25,26.048745,1.001555,563135,98.45171398933734,115.99469488583489,214.4464088751722
intel-manager,2025-12-20T06:06:18,20,26,27.049828,1.001083,563135,107.60265872915302,110.87309440383038,218.4757531329834
intel-manager,2025-12-20T06:06:19,20,27,28.051817,1.001989,563135,111.0870034156272,111.49086218585148,222.57786560147866
intel-manager,2025-12-20T06:06:20,20,28,29.053774,1.001958,563135,104.36561014637378,111.18951429661524,215.55512444298904
intel-manager,2025-12-20T06:06:21,20,29,30.055528,1.001753,563135,98.4432335026906,104.14525697256465,202.58849047525524
intel-manager,2025-12-20T06:06:22,20,30,31.056953,1.001426,563135,106.98330329319066,101.50089979217024,208.4842030853609
intel-manager,2025-12-20T06:06:23,20,31,32.058494,1.00154,563135,106.5565928333149,111.10670074498526,217.66329357830017
intel-manager,2025-12-20T06:06:24,20,32,33.060279,1.001785,563135,108.1752778127232,104.68974862140836,212.86502643413155
intel-manager,2025-12-20T06:06:25,20,33,34.0618,1.001521,563135,105.12677262286348,108.8403527424088,213.9671253652723
intel-manager,2025-12-20T06:06:26,20,34,35.063363,1.001563,563135,104.94016891913158,113.81927112433,218.75944004346158
intel-manager,2025-12-20T06:06:27,20,35,36.065374,1.002011,563135,91.99647643401993,103.8945794631671,195.89105589718702
intel-manager,2025-12-20T06:06:28,20,36,37.06739,1.002016,563135,101.985937150813,113.54280596776071,215.52874311857371
intel-manager,2025-12-20T06:06:29,20,37,38.069398,1.002007,563135,97.99479796826628,111.74986388751675,209.74466185578302
intel-manager,2025-12-20T06:06:30,20,38,39.071293,1.001896,563135,104.87538528503768,107.69072034973222,212.56610563476988
intel-manager,2025-12-20T06:06:31,20,39,40.07274,1.001446,563135,105.69379365734733,107.97966572150168,213.673459378849
