hour,hour_invocation,day_of_week,hour_of_day
0.0,225.13333333333333,0,0
0.25,203.0,0,0
0.5,217.0,0,0
0.75,204.93333333333334,0,0
1.0,157.33333333333334,0,1
1.25,172.13333333333333,0,1
1.5,128.13333333333333,0,1
1.75,137.53333333333333,0,1
2.0,142.33333333333334,0,2
2.25,165.66666666666666,0,2
2.5,132.66666666666666,0,2
2.75,104.4,0,2
3.0,99.2,0,3
3.25,88.73333333333333,0,3
3.5,79.93333333333334,0,3
3.75,92.4,0,3
4.0,70.33333333333333,0,4
4.25,75.66666666666667,0,4
4.5,68.13333333333334,0,4
4.75,66.8,0,4
5.0,62.6,0,5
5.25,56.733333333333334,0,5
5.5,39.46666666666667,0,5
5.75,67.06666666666666,0,5
6.0,66.6,0,6
6.25,67.66666666666667,0,6
6.5,70.4,0,6
6.75,67.2,0,6
7.0,78.33333333333333,0,7
7.25,106.86666666666666,0,7
7.5,105.13333333333334,0,7
7.75,87.06666666666666,0,7
8.0,115.8,0,8
8.25,144.4,0,8
8.5,183.73333333333332,0,8
8.75,108.93333333333334,0,8
9.0,130.6,0,9
9.25,166.0,0,9
9.5,146.2,0,9
9.75,208.93333333333334,0,9
10.0,190.6,0,10
10.25,282.46666666666664,0,10
10.5,248.66666666666666,0,10
10.75,282.3333333333333,0,10
11.0,241.33333333333334,0,11
11.25,246.73333333333332,0,11
11.5,302.26666666666665,0,11
11.75,248.6,0,11
12.0,247.73333333333332,0,12
12.25,286.53333333333336,0,12
12.5,291.06666666666666,0,12
12.75,247.26666666666668,0,12
13.0,182.13333333333333,0,13
13.25,214.4,0,13
13.5,230.4,0,13
13.75,200.06666666666666,0,13
14.0,187.33333333333334,0,14
14.25,208.86666666666667,0,14
14.5,249.86666666666667,0,14
14.75,253.4,0,14
15.0,231.13333333333333,0,15
15.25,315.2,0,15
15.5,293.8,0,15
15.75,99.0,0,15
16.0,359.4,0,16
16.25,258.8,0,16
16.5,271.93333333333334,0,16
16.75,217.13333333333333,0,16
17.0,235.13333333333333,0,17
17.25,243.66666666666666,0,17
17.5,235.53333333333333,0,17
17.75,233.86666666666667,0,17
18.0,252.13333333333333,0,18
18.25,267.26666666666665,0,18
18.5,296.93333333333334,0,18
18.75,236.13333333333333,0,18
19.0,235.66666666666666,0,19
19.25,253.13333333333333,0,19
19.5,242.0,0,19
19.75,200.0,0,19
20.0,275.6666666666667,0,20
20.25,238.6,0,20
20.5,217.26666666666668,0,20
20.75,238.4,0,20
21.0,259.0,0,21
21.25,253.06666666666666,0,21
21.5,228.4,0,21
21.75,222.13333333333333,0,21
22.0,197.6,0,22
22.25,204.2,0,22
22.5,187.0,0,22
22.75,196.8,0,22
23.0,168.4,0,23
23.25,192.53333333333333,0,23
23.5,229.66666666666666,0,23
23.75,173.2,0,23
24.0,161.6,1,0
24.25,189.93333333333334,1,0
24.5,132.53333333333333,1,0
24.75,137.06666666666666,1,0
25.0,125.66666666666667,1,1
25.25,152.06666666666666,1,1
25.5,156.73333333333332,1,1
25.75,138.4,1,1
26.0,98.0,1,2
26.25,112.66666666666667,1,2
26.5,115.33333333333333,1,2
26.75,89.93333333333334,1,2
27.0,102.8,1,3
27.25,92.6,1,3
27.5,94.06666666666666,1,3
27.75,87.4,1,3
28.0,65.46666666666667,1,4
28.25,78.06666666666666,1,4
28.5,66.26666666666667,1,4
28.75,78.8,1,4
29.0,89.6,1,5
29.25,87.4,1,5
29.5,78.0,1,5
29.75,99.93333333333334,1,5
30.0,97.73333333333333,1,6
30.25,94.26666666666667,1,6
30.5,106.33333333333333,1,6
30.75,117.2,1,6
31.0,106.4,1,7
